 	la	pasta	vuole	sale	</S>
a31	0.102294505	0.532565	0.025119657	0.12582007	0.21420072
a15	0.0031385939	0.012656684	0.039054845	0.628401	0.31674886
a31	0.0023239912	0.032994296	0.85291064	0.016425742	0.0953453
a13	0.0050748875	0.008190402	0.009657944	0.06654151	0.9105352
a31	0.0015136388	0.013017005	0.00509094	0.25396544	0.72641295
a6	0.0044837333	0.014182439	0.0010023777	0.07464236	0.90568906
a31	0.0063098	0.04561033	0.0413026	0.4557948	0.45098242
a46	0.26766595	0.451603	0.018583473	0.07717415	0.18497339
a31	0.038467135	0.28180718	0.36957535	0.17151777	0.13863254
a46	0.6043982	0.21760803	0.024717635	0.06780461	0.085471444
a20	0.04387838	0.40929446	0.419859	0.06768514	0.05928314
</S>	0.5688906	0.26367357	0.08713095	0.0405652	0.039739724
