 	sta	e	dorme	nel	letto	</S>
a33	0.013485206	0.01003526	0.022037657	0.18554676	0.07381863	0.69507647
a31	0.00015258005	0.013382143	0.011632575	0.017700331	0.011786325	0.9453461
a37	0.09911628	0.7472623	0.08029682	0.0007550612	0.00035364143	0.072215915
a31	0.09966288	0.42672384	0.0355136	0.0233128	0.016314784	0.3984721
a13	0.012699271	0.02379252	0.014269352	0.010884307	0.013649337	0.92470527
a20	0.00043128122	0.0010685914	0.0015395905	0.01982962	0.012877613	0.96425325
a24	0.0017546325	0.0038652255	0.0029314563	0.03343331	0.05792961	0.9000857
a28	0.008688422	0.021555442	0.005119461	0.01840927	0.06981467	0.8764127
a31	0.09946361	0.16710928	0.0011028628	0.057013422	0.15415777	0.5211531
a35	0.16275899	0.11940111	0.030294139	0.27047107	0.1414868	0.27558792
a18	0.0044466797	0.0061260746	0.0013921914	0.05034534	0.09337109	0.8443186
a31	0.054040868	0.12184664	0.022280382	0.16030926	0.21193822	0.42958462
a13	0.062725104	0.025504177	0.060131	0.30912855	0.22935839	0.31315273
a39	0.05075134	0.08944967	0.01757499	0.068566434	0.2051088	0.5685488
a31	0.10851943	0.19019543	0.061688673	0.16532977	0.19458847	0.27967823
a21	0.062228892	0.04705928	0.13031755	0.25373617	0.23755337	0.2691047
a31	0.32490116	0.20093964	0.022650618	0.08074128	0.15115532	0.21961197
</S>	0.19078042	0.12817457	0.1575474	0.17139357	0.16814938	0.18395458
