 	vivendo	la	mia	figlia	la	avevo	portata	alla	chiesa	</S>
a31	0.00049687363	0.004439518	0.0019723892	0.0018213005	0.058593508	0.058202993	0.24081624	0.20281932	0.20730297	0.22353487
a28	0.033609305	0.008456818	0.38550085	0.07115872	0.04821316	0.029935934	0.10765462	0.287317	0.018619793	0.009533752
a24	4.3906926e-05	1.2562394e-06	0.00073236926	0.00023759798	0.0048352373	0.010913467	0.7914025	0.1305517	0.040024865	0.021257106
a28	0.010282026	0.004738899	0.07004571	0.037713274	0.09764296	0.08405349	0.2053121	0.34386584	0.072425336	0.073920384
a31	0.0021915296	0.00017899276	0.0247662	0.025979642	0.09236479	0.0403515	0.10659181	0.63305914	0.06270036	0.011815952
a20	0.006344593	0.004322471	0.05800847	0.0111964755	0.01353672	0.0863844	0.22523837	0.38114876	0.19663991	0.017179877
a31	0.00025141332	0.0001050883	0.0028341836	0.0027285882	0.02194115	0.030234782	0.04777666	0.43812177	0.44582063	0.010185751
a13	0.00550575	0.005881445	0.02687177	0.010228293	0.014385643	0.036472593	0.032814644	0.10230874	0.7239278	0.04160334
a31	0.0010110082	0.00076697435	0.009306133	0.005677641	0.055436943	0.07456058	0.14249481	0.3553743	0.32267466	0.032696914
a41	0.016408484	0.043137357	0.0680044	0.035770793	0.025574375	0.017209133	0.025976468	0.12130034	0.58311796	0.0635007
a33	0.0037518153	0.0026614254	0.033308595	0.015127447	0.10023861	0.09924783	0.18923625	0.2381849	0.2361029	0.08214025
a8	0.0006393395	8.889705e-05	0.007912627	0.0077608116	0.06520856	0.17085335	0.2730307	0.0801796	0.2728381	0.121488005
a24	0.0070758457	0.001474645	0.04416558	0.024131006	0.07522627	0.15062402	0.28440067	0.052646175	0.19921736	0.16103846
a37	0.10184467	0.22483195	0.10576827	0.13287711	0.15990786	0.017038953	0.02875857	0.09459854	0.09249798	0.041876048
a5	0.079253405	0.22699	0.16635032	0.14069071	0.14821234	0.0157207	0.038138274	0.04181821	0.09090486	0.05192115
a31	0.08138678	0.31147608	0.08069862	0.08130904	0.08051028	0.051363986	0.04794741	0.095653564	0.10261052	0.06704368
a20	0.086380005	0.3105109	0.07350494	0.08025621	0.08717197	0.054690327	0.06566307	0.08915447	0.090866596	0.061801452
a31	0.07865443	0.14034887	0.26911783	0.22282627	0.13273779	0.026808538	0.038483433	0.014149812	0.036868528	0.040004533
a8	0.108591944	0.38714427	0.0886092	0.09581871	0.06662167	0.049767867	0.05086254	0.053499658	0.054287147	0.04479683
a31	0.05268258	0.0097374	0.28511348	0.25434035	0.18800619	0.054245736	0.061323736	0.01806658	0.036985468	0.039498463
a20	0.117466114	0.41533744	0.087063275	0.09720876	0.06308963	0.042760458	0.044198677	0.044972353	0.045042403	0.04286089
a24	0.13728577	0.17572989	0.23172687	0.22459695	0.13675316	0.026949205	0.024782393	0.0113686705	0.015250206	0.015556805
a31	0.14004695	0.41588235	0.09649633	0.1111715	0.062098294	0.03455961	0.035261814	0.03525166	0.035108063	0.03412351
a37	0.10559347	0.32360542	0.0871863	0.093825996	0.07496944	0.061495163	0.06303158	0.06418607	0.0640937	0.062012833
</S>	0.17884102	0.23524268	0.18978904	0.20154789	0.113674805	0.020299803	0.018664103	0.013231599	0.014453563	0.014255533
