 	li	vestono	i	genitori	</S>
a31	0.18579216	0.25788638	0.037531532	0.028840711	0.48994923
a46	9.570831e-08	6.454904e-06	0.00032239317	0.5861655	0.41350552
a18	1.8024014e-07	0.00015789062	0.00072058913	0.6625296	0.33659172
a35	0.00094618124	0.012449179	0.035565544	0.7052506	0.24578847
a15	0.00045326742	0.010466223	0.04292629	0.76641715	0.17973706
a39	0.0007687156	0.026366025	0.117225535	0.6603688	0.19527093
a31	0.0025627033	0.06517097	0.21021885	0.3244811	0.39756635
a11	0.08985575	0.264	0.15319623	0.39027762	0.102670364
a20	0.0020270105	0.06562847	0.15869835	0.1926843	0.5809618
a31	0.0073178443	0.19073634	0.15504684	0.14655145	0.5003475
a39	0.068845585	0.18992496	0.14186814	0.2167882	0.38257307
a20	0.0035355322	0.116912045	0.24150023	0.046059668	0.59199256
a46	0.1492658	0.12650324	0.0963001	0.026520517	0.6014104
a31	0.11171139	0.28490126	0.19424058	0.026254032	0.3828928
a15	0.086391814	0.06505108	0.11635226	0.030231085	0.70197374
a24	0.08070289	0.47853318	0.19830629	0.056267317	0.18619028
a20	0.12405763	0.16437912	0.24175282	0.043264434	0.42654595
a31	0.29516032	0.2358458	0.1768932	0.0316747	0.2604259
a13	0.18132292	0.1322605	0.2180449	0.035725717	0.432646
a46	0.24337173	0.3078755	0.18353991	0.061160628	0.2040522
a14	0.29088327	0.26942515	0.16536044	0.110222526	0.16410865
a20	0.18924752	0.2248386	0.2300634	0.07084502	0.28500542
a31	0.21858755	0.246031	0.21157762	0.08172477	0.242079
</S>	0.15732272	0.1858501	0.251389	0.064044096	0.3413941
