 	se	vieni	a	casa	ogni	sabato	</S>
a23	0.006567035	0.015956381	0.06899533	0.05520937	0.21265276	0.3064654	0.33415374
a31	2.5889778e-05	4.1162923e-05	0.00013092483	0.0008565205	0.014307535	0.64136636	0.34327164
a11	0.009156816	0.0020611945	0.01089465	0.014653176	0.026667086	0.12551731	0.81104976
a21	0.0034495029	0.0060394015	0.027832337	0.05678657	0.13759892	0.3542425	0.41405073
a31	0.0002586359	0.0008202737	0.0004753242	0.0010215132	0.016211346	0.82573766	0.15547515
a20	0.0049064877	0.000284125	0.0009773502	0.0030823438	0.008368872	0.69701713	0.2853637
a31	0.00010700647	0.0004030571	0.00045540786	0.0016796177	0.029121848	0.8558951	0.11233797
a10	0.011797059	0.0035841875	0.008745061	0.02302029	0.12287309	0.60578275	0.22419757
a31	0.0046568355	0.013063184	0.01567564	0.018954325	0.21421945	0.5321251	0.20130542
a21	0.050041627	0.16620599	0.08208935	0.06539968	0.19898513	0.28926113	0.14801711
a11	0.006381379	0.008022292	0.03940299	0.01953896	0.20833907	0.544366	0.17394933
a3	0.033391707	0.18979165	0.14860138	0.059255052	0.28075457	0.18814953	0.100056104
a33	0.035477698	0.06742855	0.102823906	0.038459808	0.33571243	0.30853102	0.111566626
</S>	0.0668627	0.12100529	0.15806618	0.1091221	0.39879134	0.100917205	0.04523518
