 	io	al	mio	fratello	non	gli	lo	scrissi	mai	una	lettera	al	mio	fratello	</S>
a31	0.019696837	0.043899924	0.014227339	0.0063509173	0.0025325017	0.0012919909	0.042466402	0.015617423	0.13131493	0.20489646	0.008145909	0.016924832	0.066444054	0.29546708	0.13072342
a1	8.026447e-09	5.779461e-08	1.4118279e-05	8.837847e-05	0.003383029	0.13521622	0.13114095	0.69903064	0.030557424	0.00054945896	1.1341091e-05	6.713736e-06	1.1862015e-06	3.5053853e-07	1.2799315e-07
a31	3.311754e-08	5.977753e-08	2.7870261e-05	0.005765036	0.021873526	0.34857342	0.12225568	0.31635016	0.15705143	0.028031092	1.6434426e-05	6.562141e-06	1.1554277e-05	3.20597e-05	5.1452735e-06
a20	9.974609e-07	2.7956415e-07	1.7112003e-05	0.001027319	0.021826314	0.28847262	0.05747409	0.5158953	0.08468528	0.030136146	0.000420837	3.3670553e-05	6.9338084e-06	2.201387e-06	9.61523e-07
a31	1.6900103e-06	1.6292787e-06	2.4385972e-05	0.00040328383	0.007795426	0.21702927	0.0694869	0.593124	0.062178094	0.02512239	0.013849907	0.007414933	0.003113955	0.00035583024	9.835376e-05
a46	4.0898412e-06	3.1544525e-06	2.1215623e-05	0.00039262703	0.00569016	0.22550322	0.10593685	0.5011613	0.07859798	0.035765775	0.034749154	0.0096073905	0.0025232772	3.1689666e-05	1.2218818e-05
a31	1.6613899e-06	1.1637449e-06	1.358338e-05	0.00015829179	0.0010503132	0.08474685	0.06413509	0.25227395	0.06368237	0.019094927	0.10271517	0.11385136	0.21283911	0.03218478	0.053251304
a20	1.8726245e-05	2.6626021e-05	0.00042797872	0.00088022207	0.005717261	0.049784377	0.054676082	0.10673618	0.12621991	0.07166229	0.01969013	0.084808275	0.34505698	0.12129216	0.013002793
a31	3.89393e-06	6.198076e-06	0.00010296087	0.00020873819	0.00165545	0.024053153	0.035464957	0.05778896	0.11010955	0.058947627	0.04890119	0.16231598	0.23531629	0.11355931	0.15156578
a32	0.00012220367	0.00023445913	0.00051915785	0.0005838663	0.0030058604	0.007319614	0.009159811	0.014933776	0.028876672	0.024219854	0.011006269	0.10051055	0.39758155	0.3609101	0.04101628
a11	0.00032589107	0.0015841465	0.0011742484	0.002551396	0.009657819	0.017778564	0.011963679	0.025282899	0.026588691	0.034948178	0.01755288	0.10796834	0.30684072	0.2769327	0.1588499
a31	0.0005875224	0.000221393	0.00026267912	0.00034406767	0.0012542696	0.006302886	0.008279996	0.010637709	0.009791845	0.0067334124	0.031173252	0.22586933	0.3871275	0.2049179	0.10649631
a20	0.008915479	0.008621291	0.0023990422	0.0013038504	0.0014878841	0.0030589027	0.010879247	0.008327229	0.015129136	0.01593785	0.019472936	0.21696891	0.31028956	0.33947012	0.03773851
a4	0.0016506272	0.0023913365	0.001964971	0.0025723747	0.0059484015	0.00696975	0.008818121	0.012096401	0.014415004	0.027064864	0.06521603	0.25434023	0.28970656	0.2279378	0.07890749
a31	0.00074558076	0.0007970815	0.0034761343	0.024563842	0.007974149	0.011883917	0.008854991	0.011132564	0.011152202	0.044708684	0.15363401	0.22680703	0.22697061	0.14968687	0.11761232
a28	0.06396513	0.107597105	0.020688513	0.019491486	0.009527608	0.0054739174	0.0060121054	0.0057250843	0.0064410116	0.011749777	0.0689598	0.18534711	0.20337266	0.18259995	0.10304871
a31	0.039832253	0.08832757	0.19039512	0.32917726	0.07411388	0.0024250282	0.003122374	0.0019097431	0.005558446	0.031293154	0.047473617	0.051069498	0.05008373	0.043919902	0.041298456
a18	0.15509343	0.3168187	0.07582432	0.05514522	0.022690117	0.0020158032	0.0030634669	0.0020356937	0.004693413	0.027272321	0.06570978	0.07541988	0.07407618	0.06917776	0.050963942
a8	0.13182499	0.2488635	0.2565983	0.21147901	0.03469555	0.0008531406	0.0025263766	0.0007154859	0.0051818015	0.015985781	0.018090094	0.018500835	0.01853888	0.01823354	0.01791272
a31	0.022405818	0.027369786	0.26189676	0.30967703	0.039721	0.0024081704	0.013117397	0.002304643	0.023854509	0.047020026	0.049678013	0.050329797	0.05032797	0.050284028	0.049605012
a8	0.19863677	0.2842731	0.07834699	0.05722495	0.038262375	0.0017002377	0.0053835623	0.0017205094	0.011054678	0.04101119	0.055039734	0.05714304	0.057260327	0.05715416	0.055788457
a23	0.06493646	0.06026008	0.34382883	0.27077666	0.042581253	0.0028069958	0.01587762	0.0026253858	0.021849995	0.029498098	0.0289307	0.029015193	0.029041491	0.02904415	0.028927112
</S>	0.047225934	0.04670245	0.32632947	0.25228378	0.04068095	0.0024123809	0.015399511	0.0023483634	0.024619147	0.03926617	0.040363748	0.040690027	0.04066737	0.04069088	0.04031989
