 	è	che	stanno	ancora	svegli	</S>
a31	0.08281658	0.5295696	0.08748258	0.051572166	0.09419047	0.15436861
a11	7.199211e-07	4.243897e-06	0.00027858606	0.0027735643	0.78017515	0.21676771
a7	3.8321946e-07	9.009524e-06	0.00043421498	0.0015468384	0.28864622	0.70936334
a24	0.00013497144	0.0032762892	0.0417848	0.060065366	0.6905775	0.20416099
a31	0.0017847755	0.0034115429	0.060704824	0.06318247	0.47140348	0.39951295
a20	0.0036492946	0.008684271	0.030689768	0.044882663	0.6243163	0.28777778
a31	0.00025931018	0.00035402688	0.059315894	0.06616106	0.22496058	0.64894915
a46	0.057285305	0.18140519	0.075130254	0.04081459	0.18763185	0.45773274
a41	0.00033454684	0.0005980157	0.069940664	0.14258184	0.2749747	0.5115702
a31	0.06945353	0.16422796	0.06677102	0.062148117	0.09621687	0.5411825
a33	0.092096336	0.04268817	0.03243249	0.082221314	0.17547156	0.57509017
a31	0.0027741673	0.03573174	0.48218817	0.14570941	0.14654332	0.1870532
a0	0.1723286	0.14656559	0.0680989	0.13829097	0.1777528	0.2969631
a31	0.018731693	0.15309118	0.4666989	0.12773399	0.11226226	0.12148195
a20	0.23145993	0.19705369	0.10045224	0.13870832	0.15153825	0.18078765
a28	0.1412796	0.42695755	0.23138395	0.07048055	0.06332736	0.066571
a11	0.34998906	0.40411243	0.07070469	0.057027884	0.05705084	0.061115045
</S>	0.22467498	0.39957345	0.09913366	0.08945583	0.09075872	0.09640342
