 	non	ha	da	mangiare	</S>
a31	0.034567565	0.040455222	0.19999237	0.2430167	0.48196808
a20	0.025868604	0.009925766	0.66878784	0.009997592	0.28542018
a31	0.044987775	0.016037298	0.38966867	0.033165846	0.51614046
a41	0.04790474	0.028692713	0.01911601	0.02178449	0.882502
a10	0.00054819655	0.01273008	0.024547584	0.05414199	0.9080321
a31	0.008701939	0.09674965	0.045039985	0.10568668	0.74382174
a15	0.124671794	0.45065567	0.03456132	0.046932843	0.34317833
a31	0.0035150312	0.17013945	0.56991565	0.0293233	0.22710662
a39	0.17545854	0.22042719	0.2727541	0.04764509	0.28371516
a37	0.0065884073	0.26462415	0.4696768	0.036682412	0.22242822
</S>	0.11436612	0.29681522	0.2685853	0.05299057	0.26724288
