 	prima	di	andare	alla	scuola	</S>
a7	0.043197684	0.095224015	0.51799786	0.17373538	0.14758942	0.022255654
a11	0.0009139316	0.0052865185	0.99326575	0.0004438407	3.9121092e-05	5.0925522e-05
a43	0.0062376307	0.19568108	0.7085304	0.048115734	0.04068979	0.00074518024
a20	0.086114295	0.052659795	0.14059255	0.13477089	0.55020535	0.035657134
a31	0.1312177	0.28761232	0.20879093	0.050919227	0.28000048	0.041459348
a20	0.021169811	0.40319115	0.35589164	0.045439664	0.14756933	0.026738496
a31	0.035364874	0.5757026	0.2912509	0.050039165	0.0360188	0.01162357
a20	0.041028835	0.5627089	0.21636446	0.07146547	0.07033549	0.03809682
a31	0.03066541	0.28929877	0.113427565	0.055825382	0.31476605	0.19601685
a20	0.086904876	0.10648112	0.2884614	0.15462801	0.22244358	0.14108099
a31	0.1590711	0.21000749	0.043687474	0.13767295	0.19280156	0.25675943
</S>	0.25754213	0.1762466	0.086203635	0.11964675	0.16430528	0.19605558
