 	il	vestito	della	sposa	vuole	bianco	</S>
a17	0.13952056	0.41438478	0.084094934	0.02602259	0.02552034	0.14168066	0.1687761
a31	1.7768342e-06	7.506848e-05	0.0005725969	0.003978649	0.008270797	0.88784176	0.09925928
a17	0.0005823316	0.14222006	0.23401612	0.034953013	0.018263951	0.18285535	0.38710922
a31	3.494193e-05	0.0024935724	0.011930321	0.043264695	0.013621879	0.39913315	0.52952147
a14	2.722218e-06	0.00051508384	0.005051788	0.01184389	0.0030735247	0.76655513	0.21295787
a17	5.7375382e-05	0.0021015895	0.008174596	0.025923846	0.011683022	0.72270644	0.2293531
a31	6.066001e-06	0.00041185893	0.004905177	0.006974102	0.0042491797	0.87877196	0.10468165
a11	0.00013542602	0.020805355	0.066096276	0.055653334	0.0135540515	0.6670383	0.17671722
a35	0.00017038558	0.010114516	0.06957532	0.0725139	0.07405646	0.5884018	0.18516757
a38	0.00022491372	0.0066262763	0.06663808	0.07133708	0.13206036	0.48141122	0.24170199
a31	0.008320325	0.016663175	0.05147482	0.2532327	0.23630458	0.18227667	0.2517278
a21	0.029241059	0.031091405	0.017763902	0.21580559	0.27149212	0.21491505	0.21969081
a31	0.00066753756	0.0037215073	0.06291008	0.12940209	0.16618694	0.3190733	0.31803855
a24	0.038564164	0.025681382	0.01952388	0.16741	0.23729673	0.26303956	0.24848428
a8	0.0047323047	0.018858999	0.16685322	0.17054862	0.21786806	0.20781979	0.21331899
a23	0.011380459	0.04791654	0.23099583	0.2037699	0.22523288	0.1408042	0.13990018
a31	0.051324204	0.046537668	0.21660703	0.24655196	0.19904293	0.11943072	0.120505475
a8	0.047515	0.009721698	0.015952216	0.22774968	0.23724356	0.21599253	0.24582532
a23	0.023380764	0.07327482	0.34363154	0.19400357	0.1613748	0.10213642	0.10219819
a31	0.076580964	0.0804419	0.27332526	0.20532902	0.16457196	0.099866875	0.099884026
a10	0.061665308	0.010883826	0.021176841	0.22357018	0.23082419	0.2156041	0.2362755
a37	0.09256731	0.08464324	0.17395115	0.19627886	0.17644127	0.13725726	0.13886091
a46	0.24494435	0.16572784	0.06398585	0.14711854	0.13725647	0.11747493	0.12349202
a8	0.082434475	0.23361346	0.1213046	0.15161443	0.14564635	0.12881468	0.13657203
a31	0.22683957	0.27267724	0.15821584	0.111261636	0.09280508	0.06853245	0.06966813
a20	0.09880557	0.018985817	0.038832474	0.21083768	0.21280198	0.20447446	0.21526197
a8	0.15679245	0.18091159	0.14818388	0.14253478	0.13552184	0.117980585	0.11807491
a13	0.31177095	0.36396223	0.12182119	0.063660346	0.05395986	0.042171564	0.04265394
a18	0.39024344	0.23832227	0.071808755	0.08687286	0.078944	0.066112585	0.06769602
</S>	0.5790093	0.1944906	0.044582453	0.05258089	0.047815032	0.040294718	0.041226998
