 	vengono	vestiti	dai	genitori	</S>
a31	0.000785441	0.3047177	0.02007245	0.13809907	0.53632534
a46	1.8674371e-05	1.6480851e-06	0.0001953519	0.25352496	0.74625933
a18	8.114053e-07	3.8440107e-06	7.591522e-05	0.08131883	0.91860056
a31	0.0059438637	0.0032451188	0.08735585	0.6799924	0.22346276
a11	0.0015930986	2.1720052e-05	0.0013084429	0.72834677	0.26872995
a31	0.00035861722	0.00097078976	0.17423163	0.37618643	0.44825256
a39	0.05758964	0.0006511754	0.01595739	0.6736832	0.25211856
a31	0.0011135745	0.018151268	0.4391531	0.2496027	0.29197937
a35	0.18514173	0.16681749	0.1431235	0.30050725	0.2044101
a31	0.0007409097	0.08660056	0.45133162	0.25277025	0.20855664
a18	0.026364153	0.18744123	0.18571244	0.15740392	0.44307825
a0	0.0015779496	0.17059524	0.40847483	0.1562162	0.26313573
a31	0.012903348	0.5410799	0.23742908	0.08829316	0.12029452
a37	0.009403815	0.20497836	0.24037002	0.088834934	0.4564128
a20	0.018458728	0.53626287	0.21128319	0.054905303	0.17908984
a31	0.053511452	0.460844	0.2052286	0.064681344	0.21573468
a41	0.012367937	0.25964862	0.28292474	0.11615461	0.32890406
a20	0.16165075	0.3932178	0.16736141	0.11331046	0.16445965
a31	0.13785315	0.31219175	0.20959522	0.120433435	0.2199264
a20	0.033999607	0.26411092	0.26624942	0.15646295	0.2791771
a39	0.4460462	0.20816875	0.11854968	0.105664946	0.121570446
a46	0.3875876	0.18264046	0.14701237	0.1337769	0.14898267
a41	0.43979603	0.17875801	0.1292834	0.1212244	0.13093816
</S>	0.15635079	0.24590115	0.21298148	0.16392986	0.22083676
