 	stava	ancora	cucinando	</S>
a8	0.4782991	0.24084358	0.18640259	0.09445468
a46	0.0001852621	0.008028534	0.49401087	0.49777532
a24	0.044360958	0.7085938	0.09800267	0.14904255
a37	0.14461637	0.16351901	0.16383962	0.52802503
a20	0.059397317	0.08477301	0.269944	0.58588564
a31	0.024636012	0.051606532	0.39866138	0.52509606
a37	0.014751463	0.03364134	0.58420926	0.3673979
a31	0.010436377	0.050627906	0.60051787	0.33841786
a20	0.08541378	0.23763707	0.44285575	0.23409346
a31	0.009067141	0.2148615	0.4533962	0.32267514
a6	0.05327104	0.31305873	0.35917425	0.2744959
a31	0.20356196	0.23966528	0.26365748	0.29311526
a20	0.2180361	0.2589539	0.26349783	0.25951213
a46	0.65699315	0.13608003	0.10370267	0.10322413
a31	0.72890204	0.09661297	0.08739616	0.087088816
</S>	0.25643831	0.24865523	0.24812177	0.24678467
