 	non	so	cosa	scrive	</S>
a46	0.0029075963	0.00024398345	0.0054799747	0.31847417	0.67289424
a8	0.00080728374	0.00078354136	0.011554728	0.04216465	0.94468975
a31	0.0050631003	0.0015637734	0.0064035417	0.6033103	0.38365927
a13	0.17727773	0.046181932	0.28851792	0.18618545	0.30183697
a31	0.051526133	0.009906915	0.26343808	0.4205896	0.25453937
a28	0.00785786	0.0018928774	0.007518874	0.3500388	0.63269156
a31	0.013550903	0.006131553	0.091270655	0.33306587	0.55598104
a37	0.009857079	0.0017345132	0.009465114	0.26639572	0.71254754
a31	0.014566618	0.005925449	0.046962555	0.28561223	0.64693314
a11	0.08720568	0.058339898	0.08837124	0.2747077	0.49137548
a31	0.030407347	0.14832711	0.15457654	0.30646902	0.36021996
a20	0.084415264	0.22563997	0.12629041	0.24888994	0.31476444
a31	0.17345648	0.1382367	0.19890334	0.24102724	0.24837631
</S>	0.1606562	0.20684059	0.18277273	0.22044666	0.2292838
