 	l'	ha	scritta	</S>
a20	0.037813425	0.13463679	0.50017625	0.32737356
a31	0.9036381	0.063734256	0.0053964765	0.027231172
a35	0.9610417	0.0021561761	0.0067909146	0.030011121
a31	0.69301057	0.055018634	0.13123935	0.12073145
a35	0.9697916	0.019318711	0.006514574	0.0043751798
a31	0.11889136	0.6615663	0.12743326	0.09210908
a41	0.43947107	0.20115195	0.18385935	0.17551763
a31	0.114909664	0.6953626	0.14296593	0.046761855
a11	0.26683304	0.55679333	0.13231282	0.044060744
a18	0.21454108	0.5013994	0.2096356	0.07442395
a13	0.2863459	0.38066584	0.2246976	0.10829066
</S>	0.32602024	0.3432915	0.20321937	0.12746891
