 	Marika	tu	hai	mangiato	</S>
a8	0.61050683	0.1814751	0.08129873	0.05078063	0.075938776
a31	3.2414267e-05	0.003025461	0.92693734	0.055993993	0.014010812
a24	0.009494484	0.49572718	0.40951294	0.0076586218	0.077606775
a31	0.011101751	0.63014126	0.2383465	0.04073516	0.07967536
a28	0.009929028	0.09100304	0.7567285	0.08614934	0.05619017
a31	0.0036917608	0.14463411	0.33900788	0.21059519	0.302071
a3	0.00479359	0.04129924	0.19195081	0.082179494	0.67977685
a18	0.000799403	0.008775727	0.13882343	0.26105267	0.59054875
a31	0.005590208	0.088383496	0.39181602	0.2707056	0.24350461
a23	0.04993927	0.0902617	0.22181657	0.3971693	0.24081312
a31	0.01384241	0.24408132	0.46260226	0.13922064	0.14025344
a20	0.056469176	0.042119652	0.27268988	0.3806052	0.24811608
</S>	0.06070708	0.5073024	0.1978789	0.12081983	0.113291875
