 	deve	che	entra	da	qui	</S>
a31	0.012773907	0.056824405	0.20447063	0.17087257	0.35830247	0.19675605
a21	0.00027857654	0.02918991	0.1687135	0.60792977	0.036871977	0.15701623
a31	0.0009961607	0.36754173	0.08399241	0.26726267	0.077519916	0.20268711
a20	0.0050694407	0.6746591	0.02108984	0.049579665	0.06765581	0.1819462
a11	0.00044655247	0.015200314	0.03544619	0.11151028	0.24529514	0.5921015
a31	0.001555769	0.043250836	0.09959572	0.070146486	0.19416593	0.5912853
a37	0.0035488687	0.0666924	0.058925252	0.015382277	0.10849865	0.7469526
a31	0.0150938695	0.05692783	0.1742292	0.057387777	0.114273645	0.58208764
a8	0.14869791	0.21517883	0.11193671	0.051586606	0.14259529	0.3300046
a31	0.07645869	0.03224997	0.1683119	0.147558	0.23135717	0.3440643
a46	0.33736765	0.031074828	0.12261463	0.08641147	0.17810337	0.24442804
a31	0.0893263	0.084923364	0.16975646	0.19925965	0.22157525	0.23515902
</S>	0.30666092	0.054970473	0.15321286	0.13604517	0.1687339	0.18037674
