 	non	aveva	cosa	a	fare	</S>
a31	0.2714067	0.5809008	0.09771862	0.00863247	0.008325313	0.033016175
a18	0.00029394892	0.0009868763	0.7738569	0.061835423	0.10126215	0.061764672
a24	3.735387e-05	0.0010812419	0.5210661	0.4185092	0.010124486	0.049181677
a20	0.0011215108	0.019036602	0.11459025	0.009940589	0.5669808	0.28833023
a31	0.000920252	0.006409172	0.22759022	0.026109912	0.36425042	0.37472
a18	0.0025380042	0.023935147	0.22822823	0.0053015384	0.17420971	0.5657874
a31	0.0009956063	0.009855413	0.39072722	0.16417122	0.23797232	0.19627823
a17	0.08241248	0.29996508	0.07184772	0.035184626	0.15656123	0.35402888
a20	0.002592787	0.02644244	0.5015255	0.294536	0.11254763	0.062355615
a31	0.17631492	0.44214782	0.085930504	0.114160135	0.09064185	0.09080486
</S>	0.4189481	0.1782672	0.088489346	0.09417864	0.11129875	0.10881802
