 	devo	pulire	l'	albero	</S>
a39	0.03419628	0.014935175	0.078229204	0.40791774	0.46472162
a31	4.0667294e-07	0.00012667698	0.012844529	0.9693942	0.017634267
a35	1.739685e-05	0.15153846	0.04373136	0.7441038	0.060609
a31	2.2861077e-05	0.13270128	0.08973829	0.25755987	0.5199777
a20	1.275144e-06	0.025848193	0.006195543	0.8431911	0.1247639
a31	0.0001038891	0.042761162	0.14011274	0.45162484	0.36539736
a37	0.00012252813	0.22480337	0.24394172	0.39444214	0.13669021
a1	0.0007392777	0.17926551	0.71880454	0.05054449	0.0506462
a20	0.0026208959	0.041696023	0.52334577	0.07861533	0.35372195
a31	0.016844586	0.09377449	0.65753627	0.073501326	0.15834327
a39	0.03984869	0.13167405	0.39869082	0.15506828	0.2747182
a10	0.0040090494	0.041068166	0.6261996	0.03123235	0.2974909
a29	0.09224998	0.13158116	0.49000537	0.086437985	0.19972552
a46	0.081868865	0.13792579	0.5255033	0.06349788	0.19120412
a31	0.1395946	0.15745895	0.38112354	0.061794266	0.26002863
a20	0.10142998	0.029762883	0.3107735	0.18828203	0.3697516
a13	0.09842932	0.2978082	0.37420693	0.0934712	0.1360844
a20	0.26133382	0.24295469	0.26677755	0.10286956	0.12606439
a31	0.39007154	0.139187	0.20778118	0.115118355	0.14784196
a11	0.18349946	0.0296626	0.27523372	0.21738917	0.29421505
a17	0.21092673	0.39144188	0.1785546	0.10257753	0.11649925
a20	0.33493435	0.3521831	0.12581737	0.088471256	0.0985939
</S>	0.55951583	0.13693805	0.11838034	0.08871149	0.09645424
