 	vuole	andare	a	Lecce	</S>
a20	0.18647245	0.7164462	0.03817329	0.057382118	0.0015259737
a31	0.0076862467	0.57356817	0.014052046	0.002716353	0.40197724
a18	0.00082938577	0.97167844	0.025959035	5.5934437e-05	0.0014772742
a46	0.012047544	0.85358465	0.058405034	0.00035160314	0.075611256
a37	0.008757475	0.23255068	0.73819643	0.014461828	0.00603362
a23	0.0013990597	0.0056300913	0.0066608493	0.9796699	0.0066401223
a18	0.04135714	0.7910127	0.11845094	0.027936123	0.02124314
a38	0.019834602	0.020403732	0.022353576	0.9275985	0.009809668
a37	0.07670421	0.047113717	0.08176123	0.7357382	0.058682643
a31	0.2611646	0.10274022	0.10104249	0.47509226	0.059960425
a20	0.20345923	0.19507383	0.1932846	0.21345864	0.19472365
</S>	0.3415412	0.14240842	0.128087	0.2881276	0.099835716
