 	io	non	ho	cosa	da	mangiare	</S>
a31	0.07518095	0.17507988	0.22706035	0.064613774	0.14090353	0.07989182	0.23726968
a37	0.000110327295	0.001547392	0.2957456	0.62226295	0.022129435	0.022534935	0.03566929
a31	5.8016957e-07	0.00013461422	0.02847922	0.56771725	0.011060104	0.015689429	0.37691888
a18	4.735004e-06	9.8551514e-05	0.0060730167	0.7869511	0.012453708	0.04253621	0.1518827
a31	1.6355782e-05	0.00012269105	0.011042696	0.9060833	0.036337607	0.009162892	0.037234463
a11	1.8126091e-05	0.00030719303	0.014308178	0.87233144	0.031026773	0.020414524	0.061593812
a37	4.622964e-05	0.000110636116	0.030850215	0.68427193	0.11693301	0.06627888	0.1015091
a15	0.00021728012	0.0052625285	0.35368672	0.16365002	0.055725653	0.07778733	0.34367043
a39	0.00021712616	0.0034676995	0.19496363	0.08377017	0.16756631	0.2793343	0.27068073
a31	0.007054414	0.01946917	0.120999455	0.017237548	0.29069754	0.22180581	0.32273602
a39	0.08435144	0.06813708	0.044262696	0.023822661	0.24721204	0.219763	0.31245106
a20	0.001712744	0.03140028	0.17351611	0.02407621	0.31415692	0.23195294	0.22318485
a24	0.08999048	0.17128015	0.07089186	0.011340674	0.19588211	0.20872553	0.2518892
a31	0.08044855	0.17536426	0.057766374	0.011002575	0.19708084	0.21392964	0.26440778
a46	0.1460321	0.08707842	0.01446057	0.013642455	0.21180175	0.2553063	0.27167836
a31	0.023851454	0.43298548	0.18858492	0.03568521	0.11195046	0.10485787	0.10208459
a3	0.2697971	0.30949563	0.01575075	0.01732338	0.12696323	0.12946612	0.13120376
a31	0.12520114	0.5243688	0.21947932	0.026883256	0.036332138	0.03406019	0.033675067
</S>	0.38624215	0.30470407	0.027472576	0.030572793	0.08338873	0.08374785	0.08387173
