 	la	mia	mia	mamma	mio	padre	mia	mamma	e	mio	padre	eh	non	sono	stati	mai	in	Grecia	</S>
a31	0.033497315	0.061540287	0.044893064	0.02349371	0.011990216	0.0039949496	0.002870947	0.0037570833	0.0043004737	0.0008945011	0.0034735547	0.0007309595	0.00198275	0.0047090687	0.030190468	0.044608068	0.3538455	0.2791471	0.09008001
a37	2.7930046e-05	0.001265425	0.046435997	0.43203908	0.16303095	0.026771542	0.0032301992	0.0029555766	0.0019356313	0.0011845141	0.098815866	0.025393022	0.0020335196	0.0039638835	0.0003651326	0.015761593	0.0287907	0.067588784	0.07841057
a8	8.52727e-08	1.3093453e-06	4.5723595e-05	0.0027391126	0.0010137134	0.00052158785	0.0006212893	0.00020874251	7.666607e-05	0.00062083977	0.0018120426	0.15522675	0.04238284	0.04080087	0.0070291013	0.007159048	0.03459619	0.17063402	0.53451
a31	2.6337355e-07	2.6651815e-06	0.00012018674	0.002610388	0.00040886426	0.0004603247	0.0004940436	0.00041295207	0.0006105408	0.0009866154	0.0026946405	0.20588206	0.2935918	0.0775998	0.017649123	0.03438243	0.053590782	0.082456745	0.22604583
a39	6.1295503e-07	1.9507725e-06	2.2433165e-05	0.0005939897	0.006214219	0.017868754	0.024693942	0.011968083	0.007096239	0.00613753	0.008923856	0.50863475	0.077677645	0.053359877	0.010850543	0.010246064	0.03202721	0.06741173	0.15627053
a3	8.579143e-07	1.4321785e-05	0.00035658636	0.0017675115	0.0011317544	0.00039734662	0.00036482874	0.0002027062	0.0006554697	0.008774807	0.023634521	0.20256099	0.12095077	0.11783815	0.005941279	0.04000121	0.036252063	0.11965879	0.319496
a8	1.8079779e-06	8.386244e-06	0.0003582761	0.0029244088	0.0010655404	0.00059675146	0.000823257	0.0019918177	0.008845126	0.072715394	0.040573582	0.2517039	0.18819308	0.12379573	0.03421679	0.024435898	0.08555761	0.035979196	0.12621343
a31	0.00014719486	0.00027478597	0.003969226	0.024475636	0.0006564571	0.0017114137	0.0013811922	0.0036668123	0.013011799	0.082183234	0.037082687	0.13130389	0.17442848	0.07321137	0.044576526	0.024685815	0.18037128	0.02856513	0.17429711
a7	0.00064042583	0.0014705954	0.0030774525	0.003742958	0.0011499895	0.0023992495	0.0027605712	0.011462138	0.07424785	0.25480202	0.24425955	0.14750606	0.05440415	0.020814339	0.013930044	0.006168941	0.062395487	0.006664588	0.08810359
a27	0.00076325214	0.0020276068	0.008537781	0.015593964	0.0016195644	0.00070159417	0.00068416755	0.0020990644	0.014302703	0.17210655	0.09330715	0.094365984	0.06954701	0.037870158	0.027150435	0.021194585	0.33345434	0.02520073	0.07947337
a31	0.02081532	0.045977693	0.104853876	0.114955135	0.015583117	0.001968083	0.0031700893	0.013227212	0.051909998	0.15510118	0.13023391	0.03870388	0.021888286	0.014710273	0.044807035	0.012354611	0.11927117	0.010416382	0.08005273
a0	0.002152831	0.0060534286	0.012354435	0.010926609	0.0008355376	0.00040177375	0.00074118836	0.0058440766	0.027875211	0.048425928	0.16976364	0.038843848	0.030008473	0.033644322	0.02842023	0.047867592	0.22319265	0.06564123	0.24700698
a31	0.00030186426	0.0013269203	0.0036713167	0.007460102	0.0019299544	0.0012845483	0.0021000206	0.0019315508	0.0046940786	0.022038113	0.011900626	0.10393666	0.16825467	0.09887504	0.076551884	0.026370106	0.22539195	0.08156098	0.16041963
a37	0.0057559134	0.006079961	0.00714204	0.006581225	0.0014436559	0.0012000181	0.001972651	0.012046913	0.06620901	0.09313542	0.3750781	0.02312221	0.015281828	0.02023498	0.017348612	0.045939997	0.15158284	0.035804115	0.11404054
a31	0.003264616	0.0063204267	0.0108283665	0.018373968	0.02142551	0.010692684	0.0077606346	0.010357845	0.04470228	0.13041432	0.10987183	0.072616555	0.07783624	0.046653554	0.079809226	0.07468282	0.2110818	0.024959253	0.038347997
a24	0.009164246	0.0049602734	0.0065810215	0.0068370807	0.0023162402	0.003626782	0.0041542733	0.018827641	0.09425229	0.10762287	0.32557023	0.022081463	0.016090963	0.024192465	0.023084877	0.08050409	0.12650248	0.03376571	0.08986501
a31	0.003491652	0.00664921	0.010079216	0.015424121	0.026723355	0.028596902	0.014790431	0.016680967	0.062766515	0.12663643	0.074672975	0.077524476	0.1234015	0.08730571	0.09831072	0.07064584	0.11143294	0.015954794	0.028912257
a20	0.017681405	0.008962517	0.0116380695	0.010284047	0.00391191	0.005659892	0.0055004656	0.021646528	0.099851705	0.10644638	0.30027688	0.01913877	0.015211422	0.023943618	0.02776041	0.12357397	0.10102062	0.03339711	0.06409429
a31	0.0035049098	0.019083152	0.023630848	0.017388653	0.015326536	0.003678337	0.013206821	0.016516764	0.04255131	0.06316649	0.039078716	0.12682073	0.24404246	0.08320963	0.1408909	0.020419769	0.05664141	0.017509848	0.053332727
a37	0.040222492	0.021384424	0.017688591	0.010750406	0.00684236	0.010795755	0.0060456446	0.01681928	0.092716776	0.09175237	0.26439416	0.015853863	0.014807842	0.02774988	0.03354516	0.2064519	0.061745137	0.028571675	0.031862274
a39	0.0035539498	0.0058093234	0.009136263	0.012057339	0.023760304	0.04018243	0.021558458	0.027046192	0.08645625	0.12412805	0.03692724	0.08087649	0.18823439	0.13875721	0.10149468	0.03807786	0.037197135	0.0069264034	0.017820068
a17	0.0014288275	0.0048967716	0.0171394	0.02149713	0.004925097	0.0019820267	0.0063416087	0.012694127	0.027117036	0.052296974	0.009885884	0.19220322	0.26017797	0.1205078	0.12365154	0.011862654	0.030597264	0.011798344	0.088996306
a31	0.0023834284	0.0027469036	0.020802384	0.051718287	0.004912105	0.0021356621	0.0022294226	0.0049550235	0.02040396	0.059781797	0.013424012	0.2327102	0.21012309	0.09801928	0.11189137	0.038558513	0.05052264	0.02015133	0.052530523
a28	0.10651606	0.06288603	0.036795877	0.0135532385	0.016503975	0.035651136	0.012385544	0.021392792	0.07823592	0.052879643	0.12983586	0.011732192	0.016765153	0.035256226	0.036616296	0.22328994	0.053199224	0.037178595	0.01932641
a38	0.0033178434	0.009182481	0.02253061	0.026564663	0.01738283	0.001709866	0.007847963	0.019980287	0.041618116	0.05365299	0.010740754	0.14639103	0.24926853	0.0905203	0.2331918	0.012712118	0.014602897	0.006331017	0.032453917
a31	0.012594784	0.018318452	0.111863025	0.13209906	0.0155066885	0.0035254273	0.0022647544	0.004748815	0.021293472	0.06173364	0.05595731	0.06436962	0.057081323	0.051314846	0.08271248	0.1845337	0.03661855	0.052473165	0.030990865
a13	0.13070339	0.07785609	0.045275196	0.014482225	0.021032324	0.050373055	0.017706938	0.028755566	0.07011624	0.03998938	0.0764582	0.011064289	0.018001158	0.03748645	0.038927063	0.20289542	0.06455235	0.038099367	0.016225232
a8	0.006214577	0.009628612	0.025608802	0.037920628	0.045471	0.005112732	0.01528011	0.036266197	0.06747999	0.06553872	0.012353812	0.12570329	0.19891511	0.08445052	0.21000488	0.018113974	0.009372596	0.0054595256	0.0211048
a31	0.003433489	0.0033079868	0.033827037	0.13566333	0.007974198	0.0041206186	0.0033435028	0.005407244	0.013538334	0.028544884	0.011833077	0.14086725	0.19127548	0.069538966	0.12107599	0.09895062	0.032055397	0.049507845	0.04573473
a21	0.13492426	0.105831176	0.05455885	0.015887408	0.024655191	0.07847833	0.020704215	0.02716477	0.05232602	0.034189824	0.058646753	0.007087435	0.014987825	0.032343924	0.025003936	0.14872842	0.10079988	0.048940394	0.014741339
a35	0.0043906225	0.007296927	0.03336359	0.07061725	0.047520448	0.0032417302	0.008159492	0.018955076	0.03621611	0.04942231	0.0098882895	0.14389387	0.18179552	0.07065754	0.23884587	0.02157166	0.010159515	0.013102404	0.030901805
a31	0.0077919993	0.011752458	0.078456454	0.17524017	0.01140196	0.0043347008	0.0024514918	0.003735634	0.00974919	0.014630578	0.015573873	0.03759173	0.053751513	0.046783127	0.11037323	0.17956464	0.033335567	0.14768387	0.05579772
a24	0.12668376	0.099078916	0.04474602	0.012089303	0.0208753	0.0831039	0.019988274	0.025677005	0.04637239	0.03337645	0.04793145	0.00795341	0.022435773	0.045231692	0.028539192	0.13920683	0.10893548	0.06899194	0.018782904
a31	0.013301173	0.0066828057	0.017441396	0.020484576	0.03484843	0.14063807	0.06720915	0.058893185	0.17827521	0.17029774	0.09578746	0.051100772	0.062156517	0.033452418	0.02039382	0.0138418	0.001877924	0.0061081015	0.0072094807
a11	0.15205932	0.075567566	0.05744745	0.022659916	0.05264992	0.10724943	0.04199171	0.049279884	0.047130406	0.025340658	0.026966296	0.008917968	0.02388061	0.047227684	0.036091913	0.13298415	0.0673846	0.016839484	0.008331062
a41	0.009563132	0.014665099	0.043820158	0.07466568	0.1411772	0.0202693	0.046461	0.06312534	0.0613538	0.040201668	0.008662704	0.058125187	0.13312653	0.06972202	0.17745727	0.01255246	0.0036816946	0.0058258227	0.015543916
a31	0.026176324	0.0616115	0.21815987	0.15685737	0.05950455	0.009501253	0.004988298	0.009214994	0.021371951	0.025020108	0.02768074	0.014525423	0.037502576	0.05202875	0.061030563	0.10009236	0.020579094	0.06824261	0.025911609
a3	0.11231721	0.10751392	0.060956422	0.0189987	0.02948183	0.12799168	0.042023864	0.045900475	0.051547773	0.03331852	0.034931365	0.010025141	0.03487318	0.051588885	0.03419763	0.08419988	0.058948506	0.047242664	0.013942363
a31	0.0054477435	0.008042356	0.048312157	0.13649708	0.12506124	0.012148611	0.015450184	0.02704629	0.038533974	0.04835788	0.014714098	0.072386384	0.1638793	0.07894693	0.13917226	0.030103566	0.003713253	0.015799237	0.016387485
a28	0.10214809	0.12141289	0.0786706	0.025981236	0.039604947	0.15952697	0.07379179	0.06534137	0.06401367	0.031857174	0.03462439	0.009733361	0.027970407	0.034677662	0.023310496	0.045873716	0.030199759	0.024190262	0.007071271
a37	0.007705652	0.010677709	0.04531235	0.11574202	0.17329857	0.029564314	0.040742647	0.0492783	0.053960618	0.053623173	0.014957482	0.056866076	0.16509005	0.06281296	0.083401315	0.015753385	0.0018776698	0.0091506	0.010185127
a20	0.041438952	0.10405419	0.1989599	0.11913841	0.070771046	0.019929593	0.019762546	0.02889442	0.052171554	0.039327864	0.045626603	0.015464771	0.038186204	0.039258316	0.034644812	0.0453648	0.019773632	0.04047408	0.026758367
a31	0.03683837	0.048839226	0.10879317	0.09832094	0.07202389	0.045971923	0.028876077	0.03829372	0.092028454	0.07146625	0.090659425	0.018020693	0.042408142	0.037371416	0.037093323	0.04218146	0.007136542	0.041382324	0.04229465
a18	0.11414241	0.124883845	0.05141731	0.016897356	0.025991306	0.099822216	0.06587811	0.06846778	0.057029177	0.040273093	0.04174485	0.015517749	0.032858033	0.03929787	0.02392021	0.050402712	0.0518107	0.047870293	0.031775013
a3	0.015757797	0.012527534	0.04195128	0.059404798	0.057041604	0.112804055	0.09399227	0.09972712	0.16953091	0.085832514	0.10233499	0.030287692	0.032837622	0.020442262	0.018709313	0.016056277	0.0015312905	0.014627856	0.01460288
