 	sul	muro	vuole	uno	specchio	</S>
a31	0.040540393	0.14974241	0.23818757	0.11898814	0.1328518	0.3196897
a39	0.0148432795	0.004802102	0.063073665	0.05690835	0.1022268	0.75814587
a35	0.005831212	0.00489236	0.028103814	0.015300274	0.016213119	0.92965925
a31	0.00019088594	0.0009802493	0.012159456	0.0074026207	0.7636331	0.2156337
a2	0.00095168717	0.001143775	0.0021182937	0.0015528111	0.13752869	0.8567048
a0	0.0012464334	0.003173486	0.06694086	0.02883627	0.404054	0.49574897
a20	4.825287e-06	2.036983e-05	0.008557457	0.105971575	0.5293175	0.3561283
a18	0.0071208915	0.03745262	0.17972405	0.15773767	0.24528614	0.37267864
a31	0.007131473	0.04707841	0.25371876	0.28326464	0.17615663	0.23265009
a0	0.092606366	0.2631366	0.021982603	0.024836255	0.24632041	0.35111773
a31	0.006614619	0.03622109	0.52677083	0.18727861	0.109234266	0.13388054
a46	0.22656022	0.4163378	0.03509172	0.029527374	0.13466485	0.15781797
a33	0.035476394	0.09860806	0.5775935	0.13425604	0.070497416	0.08356859
a8	0.18880229	0.4691146	0.23378094	0.047394667	0.029559316	0.0313482
a31	0.17515193	0.54047924	0.17721082	0.044509154	0.030769201	0.031879652
</S>	0.3362564	0.29630917	0.058799084	0.104994185	0.10074742	0.10289372
