 	mia	figlia	vuole	andare	</S>
a46	0.95917237	0.03377056	0.0065294537	1.8647892e-05	0.0005090187
a31	0.4000103	0.558596	0.03460919	1.2240044e-07	0.006784285
a7	0.15077223	0.13129786	0.7177718	2.4328517e-06	0.00015568678
a20	0.07554802	0.18356043	0.7405638	3.042588e-05	0.00029720244
a31	0.13761629	0.5200144	0.3418357	2.8894921e-05	0.000504672
a46	0.30966285	0.5066105	0.18107326	0.0023893276	0.000264058
a31	0.72498345	0.23784846	0.025409957	0.0035602553	0.008197913
a46	0.23735785	0.70780784	0.0049931803	0.03749084	0.012350286
a31	0.5145985	0.03465747	0.019947184	0.11456185	0.31623504
a11	0.49959382	0.09736355	0.08697849	0.09623501	0.21982914
a3	0.4711344	0.07540875	0.06995979	0.07364378	0.30985326
a31	0.501553	0.11318868	0.11222722	0.11433401	0.1586971
a27	0.23588957	0.17281552	0.24592039	0.17408109	0.17129348
a0	0.6676352	0.09804616	0.061054535	0.06134226	0.11192184
</S>	0.7776216	0.106234506	0.043484904	0.035066016	0.037593015
