 	se	vieni	alle	sette	ancora	non	è	pronto	</S>
a10	0.039933544	0.096397705	0.040733166	0.8165387	0.0056394893	7.085048e-05	4.7044574e-05	2.999e-05	0.0006095782
a15	0.18589155	0.4688216	0.042299803	0.14335531	0.10520687	0.0004414606	0.0008340787	0.0003636986	0.052785654
a31	0.006951015	0.02118716	0.029381316	0.6185419	0.16341567	0.0138493925	0.02344555	0.0035334197	0.11969467
a21	0.01997161	0.08886135	0.012325844	0.56788033	0.10255275	0.027796503	0.027696654	0.0068193357	0.1460956
a31	0.0047468906	0.017879257	0.020737572	0.27813175	0.40096477	0.03459615	0.09727795	0.022632666	0.12303295
a8	0.01024519	0.014735624	0.034990296	0.27715674	0.4294837	0.011788436	0.09943445	0.07861788	0.04354762
a31	0.00657671	0.030660663	0.015582423	0.29304522	0.13518216	0.0013052645	0.017578583	0.02273776	0.47733125
a20	0.1675378	0.11096904	0.026709152	0.21878509	0.114030205	0.07434126	0.12883595	0.12755014	0.031241296
a39	0.20470266	0.1871364	0.01276194	0.31439194	0.06554496	0.050381824	0.061810456	0.06265675	0.040613096
a20	0.25688794	0.05866344	0.016525997	0.25927436	0.07437855	0.077460885	0.08809424	0.08748023	0.08123435
a46	0.39819202	0.070319764	0.019666193	0.2783723	0.092632756	0.02363503	0.02869555	0.029123656	0.05936273
a31	0.17000785	0.05683249	0.03935926	0.34601435	0.22995897	0.019626299	0.027776929	0.03187565	0.078548215
a39	0.13056822	0.11234221	0.015016649	0.23086324	0.17576504	0.08011832	0.10676551	0.11037522	0.038185604
a31	0.20636198	0.10082671	0.03427219	0.20649418	0.0352829	0.07091462	0.13901208	0.14142814	0.06540716
a20	0.18120487	0.12984979	0.06934991	0.080771714	0.0750924	0.09493528	0.14721432	0.1509616	0.07062012
a31	0.11598277	0.11376246	0.0731975	0.09558997	0.0760926	0.102414094	0.16979502	0.17441373	0.07875189
a46	0.10607893	0.10159491	0.09627385	0.098687835	0.09932298	0.11186999	0.14356941	0.14590305	0.09669905
a31	0.11697454	0.1146964	0.09807004	0.10568777	0.098982975	0.107121184	0.12847961	0.13002507	0.09996244
a46	0.10878491	0.10515587	0.10104181	0.10338696	0.10279383	0.111208126	0.13229385	0.13385329	0.10148139
</S>	0.113832004	0.11150496	0.10296053	0.108989485	0.103695735	0.10896496	0.122548826	0.12353531	0.10396825
