 	non	mi	aspetti	che	non	vengo	</S>
a8	0.0038699342	0.3267154	0.31671178	0.1032679	0.00060121506	0.24778269	0.0010510074
a31	0.0002993303	0.56785345	0.17628486	0.01943836	0.0009242587	0.18696421	0.0482355
a24	0.00030383226	0.5126786	0.26714024	0.077814154	7.846238e-05	0.14136112	0.0006235687
a31	0.00024062072	0.4400454	0.14269024	0.08844537	0.0003239424	0.32718372	0.0010707725
a36	0.11225977	0.67716736	0.03969638	0.03341411	0.0029405733	0.13345234	0.0010694946
a31	0.030295651	0.2062844	0.080001034	0.089002095	0.022882037	0.5690762	0.0024585798
a39	0.05432444	0.81672066	0.047018953	0.0047248285	0.022503115	0.05142038	0.0032876711
a8	0.012666135	0.021748733	0.019290613	0.03512668	0.028692126	0.8531568	0.029318932
a31	0.0063439924	0.0064606387	0.022766838	0.03940814	0.023120115	0.8727122	0.029188083
a29	0.04710555	0.11953635	0.051408216	0.14449823	0.04236705	0.46649	0.12859465
a31	0.055932052	0.0779295	0.06970468	0.05448445	0.069687136	0.42817083	0.24409133
a17	0.13428278	0.15798284	0.13502	0.13936831	0.13361086	0.15272932	0.14700587
</S>	0.11693984	0.1474323	0.12750967	0.11415415	0.11891852	0.17820877	0.19683668
