 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a31	0.039725468	0.64671063	0.0017891562	0.15530302	0.11610134	0.0127888955	0.01323734	0.0070649185	0.00055381644	0.0067253583
a37	0.010708154	0.56066626	0.00027245728	0.1138124	0.04368315	0.0066085216	0.02610863	0.06360949	0.08049389	0.09403703
a31	0.004852534	0.091411926	0.0010960824	0.017178876	0.005518088	0.0037393414	0.1440304	0.19569224	0.46564916	0.070831314
a20	0.0546996	0.058066994	0.0018245479	0.020645509	0.0082929805	0.00042775998	0.0031021987	0.056488343	0.7158251	0.08062695
a31	0.013241604	0.06041803	0.0006500519	0.029918307	0.0026642191	0.0014602296	0.01148001	0.12902308	0.7163008	0.034843706
a13	0.12548108	0.42814356	0.013709231	0.029413236	0.01894864	0.009630088	0.024531024	0.039449222	0.28944027	0.021253614
a31	0.018475808	0.29325232	0.0052419356	0.04063699	0.023953818	0.034825884	0.052645832	0.08582328	0.4206803	0.02446382
a20	0.010808815	0.25978714	0.09954362	0.059029862	0.061095063	0.050024852	0.063188024	0.09019239	0.28319532	0.023134908
a17	0.039246783	0.13552587	0.036263674	0.068296	0.1452891	0.051508248	0.074797325	0.12013478	0.24308406	0.085854165
a20	0.056754537	0.06699051	0.035696834	0.06708775	0.22392547	0.05991639	0.07071796	0.106651485	0.19676033	0.1154988
a31	0.052231092	0.05082414	0.012886324	0.043991547	0.0893227	0.056857944	0.10227058	0.18213446	0.31158406	0.09789716
a20	0.04761566	0.11848548	0.057540163	0.058858026	0.17784096	0.07779105	0.08831904	0.1148635	0.19287671	0.065809384
a31	0.11467562	0.112640284	0.019482765	0.07147054	0.15480524	0.05388827	0.058033362	0.095279105	0.19298059	0.12674418
a3	0.06727212	0.0897793	0.089881584	0.08548568	0.09562117	0.08911674	0.10421814	0.12255727	0.17635359	0.0797144
a8	0.108958766	0.104467526	0.06650684	0.078920476	0.24228118	0.073313415	0.07101776	0.07358617	0.07889398	0.102053955
</S>	0.07467437	0.072364315	0.06515078	0.07632401	0.24220376	0.07449086	0.07942066	0.0920638	0.12447539	0.09883204
