 	voglio	che	Maria	viene	domani	</S>
a33	0.79433995	0.17003135	0.00094218395	0.012864459	0.0077168695	0.01410515
a31	0.48407313	0.01676736	2.8925453e-05	0.016496545	0.02285499	0.4597791
a11	0.7391316	0.09740724	3.8733317e-05	0.008320303	0.09228868	0.062813364
a31	0.013353869	0.07222201	0.00036978372	0.01238015	0.6698435	0.2318307
a18	0.024745641	0.55452484	0.0011672447	0.0030346601	0.33537674	0.08115088
a31	0.011209962	0.05867005	0.0032385634	0.038112108	0.51594037	0.37282896
a42	0.03780146	0.8664728	0.0067318757	0.007327529	0.03797472	0.04369161
a37	0.06620215	0.14541449	0.030155575	0.20613609	0.26564065	0.28645104
a31	0.14108194	0.10627326	0.05223319	0.33221406	0.3003397	0.06785784
a20	0.14403173	0.1544653	0.12737574	0.27926502	0.16487703	0.12998515
a31	0.1446223	0.13582446	0.13015816	0.28450498	0.16169828	0.14319186
a8	0.16257882	0.16767262	0.16624074	0.16988303	0.1673753	0.16624945
</S>	0.1618471	0.1568091	0.15552783	0.20028837	0.16447516	0.16105245
