 	le	melanzane	vogliono	girate	</S>
a31	0.38906342	0.3287159	0.14606215	0.13431242	0.0018461001
a35	0.115108855	0.48040393	0.21305338	0.18529595	0.0061378446
a41	0.0013661587	0.52070147	0.45021653	0.027298236	0.00041769285
a10	6.420699e-05	0.069898225	0.9167577	0.013249598	3.0326635e-05
a18	0.00032576235	0.15283887	0.82895887	0.017657207	0.0002192321
a35	0.0039090645	0.15645228	0.58956504	0.24481139	0.0052622906
a31	0.005707271	0.09122518	0.17094555	0.72098386	0.011138152
a34	0.0016865002	0.043272156	0.8739895	0.07883287	0.002218967
a8	0.01620039	0.004597093	0.03223707	0.91947305	0.027492428
a31	0.0052480437	0.0030625407	0.059128053	0.91396016	0.018601103
a8	0.0026582011	0.0029503321	0.12944332	0.8598588	0.0050893906
</S>	0.011086768	0.003971269	0.032130014	0.9225274	0.030284557
