 	se	si	era	vestito	il	mio	fratello	l	avessi	portato	con	me	</S>
a33	0.27003688	0.021441013	0.07043261	0.07107083	0.101583704	0.037748285	0.005830499	0.0462387	0.09176517	0.0027946082	0.0820815	0.1947526	0.0042236256
a31	0.05536654	2.6404337e-05	5.090894e-05	0.0003633591	0.0003015427	0.0002154826	8.383354e-05	0.07585144	0.37258342	0.0010009115	0.09132004	0.3979571	0.004879016
a20	0.004123738	7.8437624e-05	2.7132975e-05	1.3928909e-05	6.860072e-05	0.00017332585	6.494416e-05	0.011676824	0.14006644	3.6636626e-05	0.041160453	0.7985572	0.0039523435
a31	0.00019252475	2.0777981e-05	1.3863063e-05	0.0001383412	0.00044033624	0.0011254556	0.00026733874	0.0041709724	0.024368646	1.818465e-05	0.013493197	0.9550939	0.000656478
a28	0.0025628386	0.0036607082	0.002093486	0.0037066948	0.007754817	0.0070535857	0.005605174	0.07648315	0.07655104	0.00023364626	0.0951551	0.7104936	0.008646043
a20	0.0004398085	0.0011347977	0.0009933077	0.020841403	0.021978758	0.00887053	0.0034018892	0.011386218	0.046954747	0.00015720817	0.069735214	0.8006019	0.013504296
a37	0.0008390312	0.003273686	0.0033768856	0.037835937	0.03024633	0.0049120584	0.0018564344	0.008847841	0.036454353	0.00017137435	0.14476055	0.69844764	0.028977958
a31	0.0028060845	0.008173055	0.0052669407	0.032258563	0.024079477	0.0025228004	0.0012436946	0.015679669	0.07155089	0.00021152255	0.2870922	0.47736564	0.07174948
a20	0.0007352035	0.0004356215	0.00028770044	0.0022212386	0.0016798206	0.0019465289	0.002860309	0.006939862	0.011934499	0.00021379306	0.02375448	0.943512	0.0034788472
a31	0.006446765	0.011106742	0.003953629	0.006057824	0.006693564	0.002359486	0.0019178397	0.015640842	0.039632138	0.00036021328	0.09645422	0.7902509	0.019125877
a46	0.0013039861	0.00096694595	0.0003933662	0.0021634565	0.0018966453	0.003552109	0.0017792273	0.004919653	0.018075675	0.0009525661	0.06399597	0.894212	0.005788412
a20	0.03914579	0.04696397	0.0054835407	0.0063338056	0.014038145	0.027967565	0.033807885	0.055822875	0.19772957	0.0017975235	0.040982086	0.5025353	0.027391937
a31	0.009125463	0.029034229	0.00513998	0.009000708	0.014547875	0.03387796	0.039530784	0.033112057	0.06266634	0.0026804924	0.028435262	0.7139907	0.018858155
a20	0.00034341498	0.004382351	0.002627562	0.011765634	0.017093869	0.024190012	0.01779116	0.0063540116	0.016081927	0.0004798142	0.025157146	0.8693738	0.0043592798
a37	0.023297526	0.030950395	0.004003272	0.004161071	0.01078364	0.030962499	0.038579505	0.02745685	0.077924944	0.0011451269	0.03611531	0.6969151	0.017704869
a31	0.017831115	0.037348844	0.0057448028	0.0064946767	0.017056696	0.06517656	0.105837815	0.068819195	0.11149859	0.0019121703	0.024709443	0.51252335	0.025046745
a17	0.00081402936	0.014409295	0.007429177	0.025117317	0.041277457	0.07338169	0.061503436	0.023904134	0.03948825	0.0009672637	0.04954164	0.65240955	0.009756839
a31	0.21656232	0.100484945	0.025173098	0.0095964	0.028972924	0.08045717	0.09111126	0.0645721	0.116780214	0.011829112	0.04452506	0.17430753	0.03562786
a18	0.0052542984	0.04465975	0.015007181	0.026350684	0.038517214	0.09448889	0.093229674	0.041488588	0.06694	0.0029657076	0.08388266	0.46971613	0.017499167
a37	0.2396446	0.1259186	0.032114953	0.01264074	0.027006827	0.09108492	0.14048696	0.10346596	0.091481276	0.018953644	0.023197431	0.04822152	0.045782577
a20	0.15504801	0.080437385	0.037443053	0.027919969	0.034301333	0.06356049	0.10850399	0.15147829	0.13907921	0.02597892	0.03473295	0.08522304	0.05629338
a31	0.07763044	0.034290314	0.017909793	0.015384209	0.019454846	0.05572666	0.081732705	0.12173249	0.11525581	0.01088388	0.03856132	0.38218257	0.02925494
a11	0.091393135	0.09692743	0.035413165	0.038462665	0.041187793	0.061689604	0.06534046	0.04922031	0.068058565	0.05389522	0.118579604	0.23570476	0.044127323
a31	0.11699012	0.10364028	0.050003827	0.023721697	0.04138641	0.094588995	0.14806393	0.12828317	0.105936974	0.03147041	0.03099882	0.051469196	0.07344614
a8	0.097744346	0.071342975	0.056061648	0.05684216	0.057659816	0.06355277	0.064967684	0.06095704	0.06795711	0.11186008	0.10944206	0.12010269	0.061509583
</S>	0.09563333	0.074237	0.063327126	0.062311266	0.063721694	0.0722638	0.08402733	0.086738475	0.07524436	0.090922296	0.08038309	0.0817111	0.069479115
