 	dopo	Giovanni	é	tornato	a	casa	</S>
a31	0.05622216	0.2877164	0.49580717	0.06488273	0.09491545	7.555543e-05	0.0003806602
a20	0.0035394826	0.037091214	0.5716921	0.2761982	0.11139442	6.099793e-06	7.8479425e-05
a17	0.00017902996	0.0005064716	0.6878866	0.23424786	0.075759806	0.0010612421	0.00035894848
a31	0.0026902328	0.005608234	0.66699415	0.20406711	0.10654043	0.008557393	0.0055423593
a39	0.029200062	0.012526034	0.28661224	0.3811609	0.27291647	0.013567316	0.004016987
a31	0.109772705	0.053541463	0.34173518	0.35248837	0.10557451	0.0061753495	0.030712493
a20	0.012732136	0.0069908076	0.39876857	0.4998736	0.06297145	0.015684396	0.0029789465
a31	0.07143589	0.03788035	0.28542206	0.3339765	0.20313182	0.036531128	0.031622186
a13	0.0015173123	0.005475684	0.5549741	0.39050934	0.01038293	0.031161817	0.005978905
a24	0.03327177	0.03909098	0.37520668	0.26189798	0.21046104	0.05934424	0.020727381
a46	0.0433466	0.039664343	0.3283816	0.20024294	0.26109767	0.09834139	0.028925525
a31	0.019715538	0.011971074	0.17442204	0.2383603	0.38624293	0.14346588	0.025822282
a20	0.115451336	0.031090545	0.41023105	0.24943747	0.118017875	0.059449524	0.016322136
a31	0.08764732	0.10303336	0.51180184	0.08898449	0.09002306	0.0701599	0.048349977
a18	0.08553047	0.059818517	0.18802792	0.31269428	0.19856808	0.08394866	0.07141208
a20	0.21235713	0.14356063	0.17260495	0.10131818	0.15185137	0.1150884	0.1032192
a31	0.08577845	0.05517239	0.24649325	0.22191238	0.23334974	0.11274719	0.04454654
a11	0.089953795	0.046183802	0.26388887	0.28529683	0.20941289	0.060519654	0.044744182
a31	0.21256569	0.19702697	0.22258368	0.07344743	0.12687807	0.08955032	0.077947855
a28	0.08416078	0.07048643	0.14094992	0.26690313	0.29355258	0.073755525	0.070191674
a41	0.2638627	0.1585141	0.14658983	0.100852676	0.13918333	0.09606768	0.09492963
a8	0.16072845	0.09198383	0.15910925	0.20169671	0.252075	0.07353802	0.06086872
a33	0.0320263	0.02876522	0.30323902	0.30894676	0.22412537	0.06968606	0.033211246
</S>	0.06465349	0.05689442	0.1982395	0.28689665	0.26786476	0.068946786	0.056504395
