 	che	non	li	aspetiamo	</S>
a20	0.035910714	0.0011458948	0.00079350796	0.9583851	0.003764699
a8	0.09354673	0.0006650635	0.002637648	0.82966226	0.07348833
a7	0.0126312515	0.0023969344	0.0004683553	0.98343635	0.0010670692
a35	0.033656325	0.016940786	0.0027318937	0.9380494	0.008621695
a46	0.06589082	0.07388791	0.027276898	0.78174263	0.051201724
a31	0.24618326	0.14619759	0.21310923	0.13778037	0.2567295
a11	0.23609199	0.064801335	0.082636	0.306141	0.31032968
a31	0.15613857	0.15185472	0.15587084	0.058150407	0.47798544
a0	0.21553724	0.21481428	0.21708006	0.14338472	0.20918375
a31	0.09478918	0.2823127	0.2831016	0.070462234	0.26933432
a30	0.20349157	0.20014939	0.2005581	0.19700164	0.19879931
a0	0.17018853	0.22810957	0.22827734	0.16543698	0.2079875
a31	0.19350336	0.20610175	0.2060872	0.19368614	0.2006215
</S>	0.20070511	0.1997172	0.1997534	0.2007721	0.19905226
