 	mio	fratello	non	mi	ha	mai	scritto	una	lettera	</S>
a23	0.15519212	0.065222465	0.049151886	0.23472284	0.26471347	0.022130193	0.00011756108	0.18095937	0.012380153	0.015409884
a31	0.12356197	0.00020245374	0.00010112995	0.0158838	0.00893538	0.00041680373	1.784464e-05	0.6194261	0.15323101	0.07822359
a28	0.06351454	0.006916915	0.000504982	0.0043592784	0.017758489	0.0017815582	5.479842e-07	0.52055424	0.28041303	0.1041964
a31	0.03092839	0.09751872	0.0172715	0.057361644	0.26673958	0.02451155	5.192082e-06	0.25356817	0.21191841	0.040176842
a29	0.053391624	0.2579471	0.006570931	0.114675954	0.50012213	0.0033372405	7.789537e-06	0.0021258886	0.044433806	0.01738758
a39	0.079119734	0.086688146	0.004102568	0.12945722	0.40673554	0.014118638	2.454938e-05	0.006283275	0.20152588	0.07194441
a31	0.11528335	0.040074933	0.0040915096	0.12966152	0.37127677	0.013517682	0.0001642389	0.005472367	0.27169406	0.048763607
a39	0.52174455	0.2709147	0.016154347	0.046621237	0.08397322	0.006647388	0.0004996884	0.0014288331	0.04914927	0.0028667762
a41	0.670515	0.012541973	0.0032822506	0.04158251	0.05815372	0.013508016	0.0069239903	0.02378165	0.14227723	0.027433742
a10	0.3471187	0.02802125	0.021250766	0.24544339	0.14052215	0.01886477	0.021525595	0.059866328	0.080257885	0.03712921
a31	0.11314788	0.008424843	0.00501959	0.17749593	0.2871858	0.037053898	0.028151643	0.10320399	0.16468376	0.07563267
a18	0.11315108	0.08644314	0.014839906	0.1084424	0.105379425	0.08089154	0.009108191	0.17419498	0.25116944	0.056379918
a31	0.24868952	0.07139542	0.023423782	0.083691284	0.07854709	0.05289137	0.07568128	0.16724464	0.046436135	0.15199947
a3	0.21459334	0.10833489	0.084265	0.09103801	0.08971622	0.08254309	0.06872473	0.08193425	0.09623383	0.08261657
a18	0.19367847	0.11919492	0.07047748	0.08642817	0.07763547	0.076032855	0.08972259	0.118101984	0.07429607	0.09443205
a31	0.13873947	0.10405396	0.090148896	0.098543085	0.09443848	0.09133985	0.09449992	0.10113292	0.0916545	0.095448956
a23	0.1079736	0.10021549	0.098081835	0.100239195	0.099497646	0.09803002	0.097072914	0.100059636	0.10016648	0.0986632
</S>	0.17641202	0.116308466	0.08063439	0.093657054	0.087377846	0.082667194	0.08818435	0.100435756	0.08258115	0.09174174
