 	è	che	stanno	ancora	alzati	</S>
a20	0.03392242	0.027920378	0.5876263	0.024979232	0.3167449	0.00880676
a31	8.928963e-05	0.017370334	0.7114725	0.11573322	0.1340191	0.021315569
a20	1.971394e-05	0.0012890835	0.05480335	0.014419281	0.8658548	0.06361388
a31	2.5155992e-05	0.0001338802	0.0006019019	0.00068154617	0.9979875	0.00056994834
a20	0.0005098413	0.0028136557	0.009599796	0.0013450886	0.9848808	0.0008508566
a28	0.026876792	0.23131977	0.16785626	0.0076774154	0.5197815	0.04648834
a31	0.043747634	0.26745212	0.22870634	0.027155934	0.19578575	0.23715223
a29	0.0020676572	0.007542187	0.018716201	0.006610385	0.9580479	0.0070157447
a46	0.11241006	0.18566792	0.35038644	0.03103494	0.12399127	0.19650933
a31	0.14433412	0.20957033	0.20485002	0.049873304	0.15647744	0.23489484
a20	0.09723313	0.15224834	0.077912346	0.14653929	0.4185506	0.10751627
a31	0.11210205	0.2084888	0.31056538	0.050914742	0.13118137	0.18674758
a39	0.10160731	0.11513836	0.09111912	0.17422983	0.36016837	0.15773699
a20	0.17001168	0.21799287	0.17322405	0.10624448	0.13262196	0.19990496
a8	0.070832424	0.1276748	0.111714356	0.12573051	0.36791334	0.19613455
a20	0.09881913	0.14353411	0.10781502	0.0979191	0.38300025	0.16891238
a24	0.08594102	0.12676403	0.08185407	0.13606268	0.41639808	0.15298012
a46	0.29787403	0.24206884	0.08794057	0.09284586	0.14834745	0.13092329
a8	0.046445895	0.047568504	0.17583582	0.20926312	0.33530235	0.18558437
a23	0.07057478	0.07095893	0.15920752	0.23736835	0.26180983	0.20008062
a8	0.02711071	0.026760539	0.109083235	0.17183869	0.5491883	0.11601854
</S>	0.05079271	0.04708879	0.17542623	0.1964643	0.3487009	0.1815271
