 	quella	famiglia	non	ha	da	mangiare	</S>
a20	0.7784625	0.03368903	0.004380556	0.0036877107	0.0030074203	0.142884	0.033888813
a31	0.20406616	0.00018514518	0.00012514617	0.107185654	0.030129887	0.44991744	0.20839047
a37	0.032319	0.00028730847	2.7324786e-05	0.007415184	0.0014707535	0.9081973	0.050283052
a31	0.013244816	0.11944762	0.0007114991	0.0013773092	0.0046863556	0.8506747	0.009857713
a13	0.005033301	0.70405513	0.0007686935	0.0012668793	0.0036893738	0.27627075	0.0089158835
a31	0.004551874	0.76016915	0.004716663	0.008297235	0.023084546	0.17296743	0.02621308
a43	0.0014759133	0.9565794	0.001755176	0.0037709586	0.009562163	0.025657034	0.0011994559
a31	0.021896536	0.26224312	0.054129362	0.1842127	0.20553157	0.2358234	0.036163326
a20	0.07977597	0.30182976	0.090516716	0.14277184	0.13544051	0.17742743	0.072237834
a31	0.04892177	0.34642148	0.06766771	0.1070939	0.11978104	0.18440272	0.12571144
a11	0.10794487	0.23347487	0.119656935	0.12269854	0.13572389	0.15852317	0.121977754
a31	0.09960012	0.30562335	0.10798281	0.118074305	0.11091303	0.115909755	0.1418966
a30	0.12537293	0.21521138	0.12785129	0.12979135	0.13208395	0.13796534	0.1317238
a31	0.10675142	0.31122825	0.11019082	0.12026699	0.11113653	0.11293816	0.12748782
a42	0.13258539	0.19107068	0.13302399	0.13431045	0.13532205	0.1389524	0.13473509
a20	0.10248664	0.27948543	0.09286293	0.18405227	0.09913425	0.1330644	0.108914025
a31	0.0634038	0.4534246	0.053539068	0.10358409	0.08195614	0.17113902	0.072953254
a20	0.1256302	0.20694636	0.1255987	0.13203087	0.13129133	0.14635897	0.13214362
</S>	0.11279001	0.30550635	0.11322584	0.12107874	0.113931194	0.11500647	0.11846134
