 	non	ha	da	mangiare	</S>
a31	0.021380046	0.15593864	0.02489209	0.7909924	0.0067968
a20	0.0024856136	0.16816963	0.0034272186	0.82311314	0.0028043203
a31	0.0022156406	0.013218397	0.0038002199	0.9799902	0.00077562017
a41	0.26701465	0.3799677	0.063623145	0.2822233	0.0071712546
a10	0.16640696	0.464284	0.0563419	0.29908708	0.013880007
a31	0.042054646	0.5543606	0.030766545	0.34158573	0.031232396
a15	0.030818189	0.78581625	0.016582698	0.13178827	0.034994595
a31	0.054609474	0.16640097	0.0821171	0.44433427	0.25253814
a39	0.07580182	0.13914116	0.12614068	0.37140134	0.287515
a37	0.13765141	0.42317012	0.099163994	0.13368124	0.20633323
</S>	0.15416937	0.28858033	0.15169483	0.15542343	0.25013205
