 	può	che	sono	ancora	svegli	</S>
a31	0.4258114	0.042479098	0.0013347518	0.31399444	0.20022748	0.016152713
a7	0.18270968	0.052534856	0.0004809306	0.017867284	0.7203899	0.02601733
a31	0.0012552132	0.0005326151	1.8258794e-05	0.09427815	0.8605065	0.04340926
a7	0.016385507	0.0048679765	0.00013581995	0.05487141	0.82328945	0.10044981
a31	0.0121930335	0.026272304	0.0003578206	0.041876417	0.6388778	0.28042266
a37	0.015934931	0.010469287	0.00033540107	0.0075723366	0.76132387	0.20436423
a31	0.010099858	0.12871224	0.012504197	0.037689466	0.5040345	0.3069597
a39	0.019154837	0.060148567	0.0059861266	0.11319212	0.58115834	0.22035995
a31	0.020862905	0.1717299	0.09855705	0.11452744	0.40750256	0.1868202
a20	0.0080250595	0.13266395	0.106804244	0.20105653	0.32760954	0.22384067
a31	0.012724116	0.12080321	0.1065674	0.13929184	0.42867848	0.19193494
a46	0.01129128	0.14170943	0.13535917	0.19767766	0.3018784	0.21208404
a8	0.13792466	0.18282437	0.17425187	0.1594624	0.1748323	0.17070448
a46	0.15308025	0.15979123	0.16425432	0.13474853	0.22716069	0.16096495
a8	0.15360105	0.15248145	0.15983425	0.116132945	0.2591915	0.15875882
a31	0.17020868	0.16528702	0.17194606	0.11197369	0.22294785	0.15763676
a20	0.06350526	0.070424624	0.06725523	0.2102122	0.47875866	0.10984409
</S>	0.44471735	0.16044627	0.14856894	0.063475065	0.07577673	0.10701561
