 	il	dito	si	gonfiò	</S>
a39	0.9125724	0.0049976804	0.008194917	0.058598418	0.015636597
a13	0.9714537	0.00079598214	0.0033564633	0.012611074	0.011782818
a31	0.16925988	0.0540495	0.018548228	0.6528844	0.10525794
a20	0.028293362	0.008831457	0.0111651905	0.68420464	0.26750535
a31	0.0117414165	0.026937455	0.032039944	0.8462943	0.082986966
a11	0.25390103	0.0309304	0.05213682	0.54928595	0.113745734
a31	0.14460678	0.1073685	0.04652817	0.3449494	0.35654712
a39	0.008810124	0.06248896	0.09517049	0.19243346	0.64109695
a31	0.07669661	0.10771775	0.07591448	0.1338746	0.6057966
a41	0.13813709	0.20211157	0.2074247	0.21599035	0.2363363
a46	0.17780825	0.18298317	0.1726471	0.18517844	0.28138304
a31	0.19082086	0.19544126	0.1903247	0.1988106	0.22460254
</S>	0.19909005	0.19955233	0.19979914	0.20107755	0.20048091
