 	mi	sono	vestito	</S>
a39	0.9521689	0.0033099102	0.03759475	0.0069264527
a11	0.90520597	7.5060736e-05	0.09018838	0.0045305705
a13	0.73154145	0.03067423	0.21105495	0.026729343
a18	0.3043782	0.018594323	0.44714803	0.22987945
a31	0.11155401	0.044586256	0.48468456	0.35917515
a37	0.061892934	0.054871637	0.4515762	0.43165925
a15	0.6460086	0.06495766	0.1489196	0.14011413
a31	0.37272415	0.09426306	0.08964885	0.443364
a46	0.760681	0.08740413	0.07946754	0.072447374
a31	0.35168812	0.3181161	0.071345195	0.2588506
a20	0.26643825	0.24037655	0.24485472	0.24833044
a31	0.23575728	0.25387892	0.19954057	0.31082323
</S>	0.24889432	0.24846245	0.2525524	0.2500909
