 	vengono	vestiti	dai	genitori	</S>
a31	0.07500494	0.74246454	0.08913943	0.036834586	0.05655656
a46	0.0022693244	0.95914245	0.037522364	0.00020399742	0.0008618848
a18	0.0015445568	0.044816196	0.9100979	0.019668605	0.023872755
a31	0.13128047	0.37288132	0.40047902	0.041190777	0.05416848
a11	0.07032265	0.21194771	0.3923792	0.099229485	0.22612101
a31	0.103378	0.47836888	0.25094837	0.040812925	0.12649177
a39	0.07666374	0.09867637	0.5201866	0.1430782	0.16139513
a31	0.08149421	0.5361529	0.17326707	0.08367037	0.12541547
a35	0.1659517	0.076544926	0.31312475	0.22638108	0.21799757
a31	0.089196146	0.5936559	0.11034818	0.096051715	0.11074817
a18	0.18050878	0.15832324	0.22327836	0.21811694	0.21977273
a0	0.12710707	0.46838474	0.13471481	0.131752	0.13804133
a31	0.16228198	0.30685887	0.17521717	0.17452405	0.18111789
a37	0.20377453	0.17341122	0.20849432	0.20848955	0.20583038
a20	0.1817513	0.2563231	0.1845272	0.1829704	0.19442803
a31	0.18178463	0.23542185	0.19051194	0.19269237	0.1995893
a41	0.20485587	0.17862582	0.20700574	0.2063055	0.20320702
a20	0.19189113	0.22337976	0.19158229	0.18915735	0.20398945
a31	0.18361185	0.21761134	0.20333654	0.20187983	0.19356045
a20	0.20146874	0.19423234	0.20671983	0.20079988	0.1967792
a39	0.19192454	0.22790538	0.18977396	0.18494909	0.20544697
a46	0.18378997	0.20668003	0.2203451	0.20409475	0.18509018
a41	0.16800141	0.21837543	0.24001718	0.20583336	0.16777262
</S>	0.19012429	0.22128248	0.19552149	0.19349532	0.19957642
