 	possono	essere	ancora	svegli	</S>
a31	0.078404926	0.0054097516	0.0076399297	0.87413275	0.03441272
a20	0.46668115	0.008888038	0.0255321	0.48862612	0.010272465
a23	0.00078030344	0.0011569702	0.009847315	0.97319037	0.0150249945
a31	0.0416257	0.03824772	0.057244103	0.6965157	0.16636679
a20	0.13290815	0.01311391	0.107615665	0.6366572	0.10970502
a11	0.50208074	0.07565739	0.09132693	0.22666103	0.104273915
a20	0.32176402	0.09289433	0.12649083	0.31961495	0.13923588
a31	0.2689456	0.12569034	0.14117125	0.29469118	0.16950163
a37	0.040652793	0.08219188	0.1952678	0.4668546	0.21503295
a31	0.15198797	0.27381065	0.12607734	0.19897991	0.24914414
a11	0.17718673	0.17787376	0.2031733	0.23500574	0.20676048
a46	0.18975392	0.2218317	0.18058075	0.1915872	0.21624644
a31	0.18303365	0.21565194	0.18554316	0.20658252	0.20918873
a46	0.1994297	0.19228084	0.19432579	0.22044288	0.19352075
a31	0.1959826	0.20948866	0.19201937	0.1955586	0.20695071
a20	0.1978097	0.19786139	0.19862576	0.2074242	0.19827904
a28	0.19780856	0.20187202	0.19800411	0.2010179	0.2012974
</S>	0.19139592	0.20008695	0.1968003	0.21383527	0.1978815
