 	non	ha	mangiato	mai	un	rustico	</S>
a31	0.19540627	0.45813298	0.038611125	0.20972987	0.0856983	0.00036022233	0.012061197
a24	0.038414665	0.9272125	0.00026718172	0.021279981	0.012035953	1.4553992e-05	0.0007751676
a31	0.08336482	0.5014823	0.007637942	0.015544637	0.06571536	0.00902199	0.3172329
a0	0.20388067	0.4872779	0.007948393	0.026808145	0.05276265	0.0013716792	0.2199505
a31	0.11118915	0.24842954	0.003597941	0.03706204	0.09523491	0.004069442	0.50041705
a17	0.28831762	0.6210674	0.009729949	0.015403452	0.036667883	0.00414886	0.02466484
a13	0.24768227	0.71472037	0.0011582191	0.007555757	0.01541197	0.0032111937	0.010260308
a31	0.1259673	0.7477065	0.00937745	0.05522224	0.045929924	0.0062601827	0.00953643
a20	0.06563585	0.20519432	0.10338927	0.1174952	0.23456375	0.11211257	0.16160908
a31	0.1407052	0.2744681	0.056656927	0.14330696	0.25309333	0.06540542	0.066364035
a23	0.1133571	0.14008817	0.13738857	0.14688942	0.18130054	0.13920242	0.14177383
a8	0.13456403	0.1657355	0.08815755	0.1608249	0.26669556	0.09081131	0.0932112
a20	0.11833661	0.19341157	0.058728714	0.18371978	0.3137916	0.06437705	0.0676347
a31	0.25709236	0.34861642	0.030775502	0.115949646	0.18199736	0.032192376	0.033376336
</S>	0.26151097	0.28471798	0.07456602	0.08677654	0.12419052	0.09544828	0.07278975
