 	ora	ho	finito	di	scrivere	</S>
a23	0.72630334	0.2701308	0.00060468644	0.0026083982	3.905093e-05	0.00031373664
a31	0.7225669	0.2723855	0.00092883216	0.0010157881	8.309526e-07	0.003102162
a28	0.09583584	0.8194933	0.007259429	0.07736127	1.3404492e-06	4.8736612e-05
a31	0.34835634	0.57010067	0.0413753	0.038493916	4.971041e-05	0.001624136
a41	0.66519487	0.23899868	0.03325814	0.061956722	0.0004963967	9.524332e-05
a21	0.64643973	0.33937258	0.0009272939	0.011778831	0.00074727135	0.00073428586
a24	0.6329057	0.31194493	0.0030728444	0.042688962	0.006570836	0.002816633
a31	0.7730421	0.06376044	0.0053335167	0.11880317	0.020370314	0.018690428
a39	0.7417143	0.05267581	0.0060744225	0.012506258	0.01094553	0.17608365
a31	0.27697372	0.07519939	0.016911335	0.033800922	0.040550005	0.5565646
a28	0.5787018	0.08028944	0.07117607	0.09184737	0.07303865	0.10494672
a31	0.5959567	0.06270229	0.045479793	0.04659123	0.049556203	0.19971378
a20	0.21519208	0.15380009	0.15334707	0.16932552	0.1536082	0.15472706
a37	0.5847864	0.075548664	0.06660041	0.06874108	0.06927772	0.13504559
</S>	0.609617	0.08240357	0.07056072	0.07537966	0.07166779	0.09037118
