 	hai	già	mangiato	</S>
a38	0.6503606	0.2479967	0.010693201	0.0909495
a31	0.0013254848	0.21052994	0.0011714023	0.78697324
a20	0.011517392	0.249666	0.020042198	0.71877444
a31	0.06115796	0.78403974	0.102499746	0.05230252
a27	0.06209542	0.8689396	0.06200642	0.006958533
a31	0.07827748	0.7084671	0.05406888	0.1591865
a20	0.06051943	0.23298977	0.56407326	0.14241755
a31	0.06888203	0.11175476	0.21543698	0.60392624
a39	0.21900918	0.23908138	0.2929817	0.24892771
a20	0.19962072	0.20967609	0.21033297	0.3803702
a10	0.17576636	0.19369993	0.26559475	0.36493897
</S>	0.080824226	0.16021568	0.33727226	0.4216878
