 	questo	muro	vuole	uno	specchio	</S>
a31	0.7362686	0.13820131	0.12424349	0.0005551345	4.5181016e-05	0.00068629405
a24	0.95043826	0.028605096	0.02092181	2.5897145e-05	6.288168e-07	8.203324e-06
a31	0.932689	0.04117402	0.025783535	0.00029095443	4.5473125e-06	5.788094e-05
a41	0.96411395	0.03207142	0.003601775	0.00010132678	1.882237e-05	9.270987e-05
a39	0.31278017	0.63564044	0.050192185	0.0013132377	5.521249e-05	1.8746126e-05
a43	0.630353	0.26853037	0.08877907	0.010423091	0.0017439725	0.00017054217
a24	0.85025954	0.07007855	0.058991317	0.010468983	0.006113382	0.004088228
a37	0.83006865	0.06461394	0.05018557	0.0120494645	0.00753556	0.035546873
a20	0.8965869	0.037887275	0.02639461	0.0061735036	0.0037007811	0.029257018
a41	0.9533987	0.014428416	0.010508736	0.0038429222	0.0032337264	0.014587569
a18	0.96473235	0.008062351	0.006449757	0.0059377784	0.0037675872	0.011050276
a31	0.9634892	0.006564331	0.0055186297	0.0088979015	0.0052318093	0.010298159
a11	0.92044926	0.028360715	0.021487623	0.017876646	0.0058101323	0.0060156123
a31	0.7284951	0.059967164	0.05092459	0.025849251	0.029888641	0.10487523
a29	0.22523582	0.08213205	0.08150572	0.21347873	0.31785795	0.079789735
a7	0.49922195	0.09371152	0.09105364	0.08766812	0.09025867	0.1380861
a31	0.35168827	0.10133424	0.10228789	0.104866385	0.24664561	0.093177535
a37	0.10148774	0.076429054	0.08347047	0.28846171	0.3132166	0.13693444
a31	0.47714776	0.11726824	0.06826895	0.046094373	0.051677532	0.23954315
a20	0.094865	0.08432706	0.086798266	0.27561057	0.34990412	0.108494945
</S>	0.39184707	0.14044505	0.08244402	0.050043188	0.05637894	0.2788418
