 	loro	non	vengono	non	li	aspettiamo	mangiamo	</S>
a20	0.9389738	0.022279358	0.0086916685	0.0026405891	0.0048960745	0.0013084194	0.0015216438	0.019688385
a46	0.98462325	0.00039868665	4.9044622e-05	2.161202e-05	0.001006494	0.0010173739	0.0004888061	0.012394754
a39	0.8459034	0.049113903	0.010928981	0.0017046226	0.0025772576	0.015242567	0.016659025	0.05787029
a31	0.22158438	0.05077235	0.008973436	0.0054367636	0.01203677	0.023938088	0.024793766	0.6524645
a20	0.042509086	0.014998196	0.005981742	0.0038270517	0.011592835	0.011015078	0.013073789	0.89700216
a31	0.03017308	0.111153945	0.08828077	0.04724637	0.045523398	0.062400907	0.3960235	0.219198
a15	0.008506492	0.06129645	0.07358602	0.08589632	0.05270918	0.04290407	0.5263332	0.14876825
a11	0.37492126	0.078791134	0.08079349	0.16279237	0.07665813	0.05701667	0.11268595	0.056340963
a31	0.356567	0.05605308	0.09151169	0.10975319	0.057894032	0.1218314	0.16194458	0.044445064
a46	0.15416723	0.07596853	0.08121819	0.03882195	0.039866336	0.27181727	0.30107892	0.037061553
a31	0.12754792	0.15932457	0.10089053	0.12417017	0.1098443	0.12392671	0.15420073	0.10009509
a46	0.13210417	0.1112208	0.11221569	0.11070629	0.11056385	0.14172871	0.17100327	0.11045719
a31	0.12084649	0.12254018	0.12049894	0.12106047	0.12037662	0.13171566	0.14307529	0.11988639
a15	0.123334944	0.121586196	0.121946074	0.12153716	0.121477135	0.13026357	0.13840722	0.12144771
a31	0.12310992	0.12321469	0.122599095	0.12268553	0.122435056	0.1287688	0.13492282	0.12226411
a20	0.12319281	0.121701494	0.122031674	0.12162735	0.121586524	0.13017339	0.13814701	0.12153969
a18	0.122305535	0.122244194	0.12210472	0.12192681	0.121769	0.1300702	0.13794078	0.121638775
a46	0.1161751	0.11567154	0.11632709	0.11529377	0.11511787	0.14099924	0.16553387	0.11488154
a31	0.09004012	0.09117406	0.09506232	0.09079236	0.090589456	0.18467353	0.26753804	0.09013015
a15	0.11901736	0.11226184	0.11364441	0.11196076	0.112012245	0.14433385	0.17477761	0.11199194
a31	0.12207936	0.12202582	0.12105415	0.12113233	0.120765075	0.13116753	0.14128754	0.12048818
a37	0.120748736	0.11878955	0.11960905	0.11875727	0.118771315	0.1348174	0.14979333	0.118713334
a35	0.1231066	0.12206858	0.12177313	0.121597774	0.121425346	0.13019685	0.13854665	0.12128508
a31	0.100547515	0.0959367	0.09961939	0.09570186	0.09574129	0.17322476	0.24366415	0.09556441
a46	0.1220087	0.12025318	0.12089529	0.12024161	0.120273374	0.13238542	0.14366204	0.12028037
a31	0.12333462	0.123157255	0.12297757	0.12287312	0.12276524	0.12841758	0.13378568	0.12268893
a11	0.12290478	0.12223103	0.122623324	0.12223429	0.122245595	0.12943874	0.13609146	0.12223079
a31	0.123876706	0.12265952	0.122568086	0.122381896	0.122291245	0.12888058	0.1351096	0.12223236
a46	0.12263082	0.12198881	0.12242107	0.121997885	0.12200719	0.12985517	0.137117	0.12198206
a20	0.123179525	0.12279903	0.12284482	0.122636594	0.12256925	0.12880118	0.13465399	0.1225156
</S>	0.12010281	0.1183808	0.119269684	0.11836636	0.11840452	0.13551667	0.15153964	0.118419535
