 	non	mi	aspetti	che	non	vengo	</S>
a31	0.0038699342	0.3267154	0.31671178	0.1032679	0.00060121506	0.24778269	0.0010510074
a37	0.00012632173	0.14840612	0.37834644	0.010956165	0.00026009494	0.46147496	0.00042982187
a31	0.0018444279	0.07406726	0.03802876	0.017915636	0.00058217417	0.86413306	0.003428724
a24	0.10321104	0.19959062	0.068646975	0.034598548	0.0006097901	0.58591765	0.007425364
a46	0.04681326	0.7686427	0.036604423	0.015204296	0.0038166507	0.12814565	0.0007729241
a31	0.055597275	0.31373212	0.06256865	0.015481438	0.044531785	0.4457744	0.06231426
a1	0.039260197	0.6550572	0.08830933	0.03893959	0.04520782	0.11823994	0.014985858
a31	0.057997454	0.08972094	0.069568075	0.050023254	0.08238408	0.35488838	0.29541782
a20	0.12546462	0.17526498	0.12705936	0.12712674	0.13099417	0.15244126	0.16164887
a41	0.09803957	0.1381288	0.10656536	0.09302574	0.106570855	0.17209025	0.28557944
a31	0.10149413	0.11214947	0.09959563	0.09475941	0.10827749	0.169012	0.3147119
</S>	0.13951093	0.1433686	0.13882211	0.14303496	0.13818966	0.14750038	0.14957334
