 	venne	scritto	</S>
a31	0.99351776	0.0029465926	0.0035357445
a28	0.99806637	0.0010266786	0.0009069333
a8	0.99207616	0.005196469	0.0027274159
a31	0.39660886	0.59915733	0.004233837
a20	0.98871094	0.010410511	0.0008785356
a31	0.6363352	0.34564376	0.018021028
a13	0.86831903	0.06085041	0.070830606
a29	0.9333877	0.022816502	0.043795794
a39	0.8194043	0.06271265	0.117883086
a31	0.76501083	0.09187088	0.14311823
a35	0.47812143	0.2701641	0.2517145
a31	0.6049277	0.17450285	0.22056934
</S>	0.3019472	0.35072482	0.34732804
