 	e	che	cucino	</S>
a31	0.8855882	0.036606576	0.07599149	0.0018135936
a24	0.46498293	0.029794542	0.50388455	0.0013379463
a31	0.011724547	0.00080731354	0.98741794	5.024955e-05
a11	0.54239285	0.010617682	0.44531554	0.0016739545
a46	0.099773385	0.024431441	0.8665852	0.009209904
a41	0.52941704	0.1164782	0.30258566	0.051519074
a20	0.6423822	0.109581746	0.19376832	0.05426775
a36	0.85900974	0.0402504	0.062252276	0.038487606
a31	0.3884554	0.08689138	0.24041961	0.28423366
a46	0.5325941	0.1057411	0.25153527	0.11012955
</S>	0.6793825	0.09082125	0.12087088	0.10892544
