 	l	ho	sentito	che	viene	</S>
a34	0.8994793	0.09914732	0.00010629186	0.0005532926	0.0005134307	0.00020044703
a46	0.6295052	0.21663658	0.00016583147	0.0032028675	0.005133823	0.14535564
a41	0.18416479	0.81572515	1.9846859e-05	6.35774e-05	2.1686517e-05	4.9141104e-06
a19	0.6175901	0.38145012	3.8890303e-05	0.0007003754	0.0001738621	4.6632773e-05
a31	0.53180325	0.25961387	0.049699496	0.046439454	0.10488508	0.0075588366
a20	0.41045308	0.1002425	0.027677907	0.032268565	0.3139481	0.11540978
a31	0.36579275	0.031190772	0.03466238	0.02332041	0.21331821	0.3317155
a24	0.3356278	0.061962698	0.060141012	0.057980746	0.1981755	0.2861123
a31	0.2229168	0.07473232	0.07148991	0.070371084	0.257474	0.30301592
a23	0.17457856	0.16218735	0.16020794	0.16010591	0.174492	0.16842827
a20	0.17405002	0.14638126	0.14442883	0.14418359	0.20203426	0.18892194
</S>	0.19377248	0.16003169	0.15556817	0.15544938	0.16900651	0.16617176
