 	ho	scritto	una	lettera	al	mio	fratello	</S>
a46	0.83953846	0.0016187434	0.07573633	0.018909784	0.034801304	0.014998582	0.0010569465	0.013339824
a31	0.18697183	1.1188243e-05	0.009885442	0.00011452193	0.040173657	0.16126351	0.010611182	0.5909686
a13	0.37999138	9.093895e-05	0.0046853484	0.0005834334	0.017795749	0.0748646	0.00951594	0.5124726
a20	0.019384392	0.0011917116	0.004397724	0.015576014	0.1943772	0.44130504	0.19925986	0.12450805
a15	0.049670424	0.0035893687	0.034887426	0.030128654	0.31471226	0.2939593	0.10310959	0.169943
a20	0.03571199	0.009556983	0.056043174	0.07442535	0.4517318	0.13268702	0.12892665	0.11091703
a31	0.09823361	0.006888211	0.13626501	0.058093455	0.19656314	0.09914469	0.107621305	0.29719055
a39	0.0028186277	0.0135306455	0.068635926	0.07248648	0.43912563	0.30377048	0.046687942	0.052944317
a31	0.12578574	0.029584397	0.05975762	0.074860126	0.21210408	0.16917251	0.20446053	0.12427495
a20	0.00802822	0.07838766	0.036552027	0.12500536	0.3164879	0.19641607	0.20414594	0.03497685
a31	0.013741785	0.026254145	0.036186073	0.057653435	0.12774432	0.25476938	0.38546905	0.098181754
a7	0.012489732	0.07840164	0.04565671	0.10292648	0.14366816	0.20754415	0.3597362	0.049576905
a46	0.024347361	0.055358063	0.06670042	0.07009804	0.10368834	0.19053842	0.31992942	0.16933994
a39	0.029022187	0.058636438	0.07512457	0.07154394	0.10046145	0.18122874	0.29377836	0.1902043
a31	0.037594818	0.04357724	0.06252996	0.059089586	0.09796235	0.20385839	0.3274583	0.1679294
a46	0.08433306	0.070009775	0.06598541	0.086427286	0.12509179	0.2034992	0.2807188	0.08393461
a0	0.2039964	0.077666074	0.09926407	0.07252465	0.08004515	0.098116964	0.113710254	0.25467643
a27	0.123371154	0.10832865	0.1140779	0.110462494	0.116264455	0.12927534	0.14383358	0.15438642
a20	0.11145047	0.06300628	0.076318935	0.07247948	0.09926848	0.163951	0.24340329	0.170122
a0	0.36154777	0.037953366	0.055876546	0.04524951	0.07900873	0.1303005	0.18909262	0.100970946
a14	0.48352993	0.03206362	0.13934974	0.031332158	0.0448465	0.05519787	0.0708075	0.1428727
a0	0.6436709	0.016552053	0.05782256	0.017347926	0.09019417	0.055136222	0.02617074	0.09310536
a46	0.54287076	0.038625587	0.10766548	0.015752433	0.032819588	0.036767587	0.02936558	0.19613297
a20	0.5630632	0.031908646	0.053524245	0.03093406	0.08342644	0.08222111	0.042376712	0.112545535
</S>	0.45755988	0.0910829	0.07878157	0.042151403	0.08489229	0.05771626	0.057114612	0.13070112
