 	non	ho	dove	d	andare	</S>
a20	0.06884564	0.36733058	0.5367005	0.025016189	7.803979e-05	0.0020290622
a31	0.027402679	0.18022965	0.5876278	0.12174195	1.05124e-05	0.08298739
a37	0.017271284	0.14877352	0.60004896	0.22658528	1.8064633e-05	0.007302946
a31	0.036643673	0.31652865	0.2277046	0.41664967	0.00070153305	0.0017718293
a29	0.006579043	0.016524233	0.10887637	0.86759514	0.00012958047	0.0002955546
a41	0.09839353	0.36779848	0.50864404	0.022558412	0.0013247568	0.0012807049
a31	0.024452139	0.20837423	0.6989429	0.06347173	0.0019405204	0.002818485
a18	0.14288712	0.6261901	0.15005364	0.041623864	0.029961737	0.00928359
a31	0.10427671	0.088951856	0.0513114	0.33222753	0.14025576	0.28297678
a39	0.11818323	0.16302505	0.11381244	0.12922357	0.1519962	0.32375953
a31	0.15908895	0.13797694	0.05073686	0.16636309	0.06579709	0.4200371
a8	0.11076772	0.11116096	0.10380221	0.3963557	0.1515012	0.12641218
a31	0.17575404	0.13044313	0.064029425	0.17429453	0.06134626	0.3941326
a8	0.11641338	0.11155048	0.10956946	0.4300447	0.12025223	0.11216975
</S>	0.17799327	0.14449954	0.118680164	0.16427465	0.115181126	0.27937132
