 	sta	e	dorme	nel	letto	</S>
a33	0.13183169	0.85349256	0.00051281415	3.7374134e-06	0.013929268	0.00022993081
a31	0.09098744	0.8050381	0.002572131	5.490366e-06	0.086325236	0.015071586
a37	0.05472801	0.17352879	0.054585446	1.7334218e-05	0.71261424	0.004526203
a31	0.0045922003	0.058475472	0.0049004913	8.73116e-05	0.93023336	0.0017111714
a13	0.0135143	0.7921134	0.0012209618	0.0015712192	0.18842956	0.003150536
a20	0.0016735024	0.7025633	0.0023478651	0.00019829987	0.27903768	0.014179252
a24	0.00050653605	0.8870495	0.00081784936	8.937014e-05	0.10917874	0.002358065
a28	0.0025800674	0.9729276	0.00017428905	3.0258947e-05	0.023469852	0.00081795326
a31	0.012206525	0.91002285	0.002627758	0.00019308313	0.06425988	0.010689838
a35	0.027248438	0.94737715	0.0008775085	0.00014826615	0.023722863	0.0006256363
a18	0.007687956	0.99002635	4.8009508e-05	4.8993308e-05	0.0011305253	0.001058201
a31	0.11380375	0.7384797	0.009386446	0.003713858	0.09566873	0.038947575
a13	0.047480583	0.9103076	0.013176485	0.0054821474	0.018165316	0.005387826
a39	0.24373843	0.4375569	0.02217127	0.02470211	0.07368452	0.19814679
a31	0.382058	0.2868734	0.06525155	0.06317369	0.10392184	0.098721504
a21	0.15896584	0.28929725	0.17688385	0.113556534	0.15170391	0.10959259
a31	0.22858237	0.22711347	0.12074186	0.121643245	0.13527387	0.1666452
</S>	0.16218245	0.17297126	0.16979402	0.16453798	0.16717947	0.16333479
