 	ieri	abbiamo	deciso	che	oggi	andiamo	alla	spiaggia	</S>
a33	0.0021984093	0.28661495	0.64553934	0.026738314	0.0043110983	0.003570144	9.5211275e-05	0.028949404	0.0019832177
a31	0.00053317443	0.015158838	0.005330664	0.00046401966	0.007865197	0.012339683	1.1765307e-05	0.94992894	0.008367717
a46	1.3792991e-05	0.0012505238	0.0011088584	0.00036725577	0.009941453	0.017825617	2.8451112e-05	0.9664559	0.0030081503
a31	0.00055919494	0.0012479635	0.0023595067	0.007242614	0.20813462	0.10176155	0.00024271183	0.6765589	0.00189288
a24	0.00019473945	0.0065849954	0.010988204	0.0033541352	0.06613806	0.037921138	0.003629574	0.86566395	0.0055251475
a31	9.129619e-05	0.007559213	0.042167597	0.0064150174	0.013330607	0.008925118	0.00066559366	0.91541713	0.0054285
a37	0.003442956	0.042291034	0.085792005	0.00481707	0.10789398	0.03570682	0.015569469	0.6945908	0.009895813
a31	0.00010901954	0.01797619	0.031344835	0.0030044974	0.012190807	0.03169673	0.0008564892	0.89692515	0.00589627
a18	0.0010797395	0.01782619	0.031693857	0.0041858424	0.06545474	0.05611394	0.006969115	0.8141127	0.002563847
a31	9.862363e-05	0.008161272	0.023181165	0.003223545	0.015372734	0.029830538	0.0020937335	0.91346186	0.0045764847
a41	0.00035357327	0.0075956495	0.01466683	0.00442814	0.038021993	0.07160522	0.0062631075	0.8550255	0.0020400851
a31	0.00012302525	0.0055397754	0.012119205	0.0030662452	0.01613954	0.036041096	0.005306051	0.9182096	0.0034554244
a21	0.0002363492	0.0047884616	0.0063390513	0.0040314817	0.033825703	0.044921875	0.0065737353	0.8974809	0.0018023901
a31	9.7624536e-05	0.005435498	0.012230168	0.0026938	0.012069689	0.027743572	0.006985287	0.9287945	0.003949816
a14	0.00013790977	0.0033794083	0.004594882	0.0041650445	0.023368835	0.033953693	0.005803386	0.92297226	0.0016245876
a31	0.0002716254	0.00671336	0.008439646	0.002681509	0.02300208	0.028472258	0.011548	0.9162364	0.002635001
a24	0.00022891095	0.0033246893	0.00356992	0.005553054	0.043898303	0.03525895	0.010972014	0.8948447	0.002349473
a31	0.0003135852	0.014347751	0.030657722	0.0024858387	0.019518519	0.030631812	0.014153493	0.88306224	0.004829137
a10	0.0004345368	0.0075330497	0.012719844	0.014134238	0.06613629	0.08700493	0.018698877	0.78830546	0.00503272
a7	0.0043955687	0.06323447	0.11702318	0.010386897	0.0987415	0.065381296	0.029677251	0.6003592	0.010800746
a20	0.007673744	0.11505859	0.13848372	0.015962599	0.11227852	0.05651089	0.023775483	0.5253666	0.0048898845
a31	0.0070093363	0.063428245	0.08663935	0.012096215	0.14121497	0.059268292	0.029551215	0.59408945	0.0067028883
a8	0.0005793181	0.016655922	0.03683301	0.04412818	0.4164904	0.15188447	0.06322613	0.24830544	0.02189722
a31	0.14805992	0.102993146	0.20881061	0.020490848	0.17819361	0.056515675	0.034701247	0.22461268	0.02562221
a33	0.0049118777	0.018875448	0.045526218	0.043317147	0.44866866	0.17855403	0.06443203	0.17175362	0.023960907
a7	0.11565522	0.063377514	0.07995823	0.028416771	0.30963698	0.07297894	0.061295114	0.23477209	0.033909246
a31	0.047653753	0.036597382	0.092406526	0.036032088	0.44331577	0.12844384	0.06259095	0.12799557	0.024964174
a23	0.0067292335	0.022798117	0.041784294	0.05592999	0.4799522	0.14845075	0.058876652	0.14523552	0.04024324
</S>	0.24817614	0.07413415	0.13075058	0.04466832	0.12236266	0.11470817	0.051895283	0.1734645	0.039840262
