 	cosa	fa	Anna	il	sabato	mattina	</S>
a46	0.05369156	0.6111633	0.2824246	0.038946502	0.0016172214	0.011083937	0.0010728741
a31	0.110775985	0.74922377	0.030438308	0.017478732	0.0009411389	0.079868466	0.011273747
a6	0.032428913	0.11370377	0.03980237	0.061016534	0.0046532704	0.74637026	0.00202496
a31	0.0019961388	0.3277642	0.12331193	0.0320771	0.01740213	0.49453348	0.0029149868
a37	0.24736692	0.10995896	0.004062387	0.031094678	0.0072163064	0.510852	0.08944882
a31	0.00084175676	0.05666207	0.006091072	0.073575296	0.04352432	0.79144657	0.027858946
a17	0.23513632	0.16545925	0.001033005	0.008570084	0.015787696	0.5421269	0.03188675
a31	0.040069792	0.23076051	0.0019503639	0.077022135	0.08619762	0.36333132	0.20066823
a17	0.16349687	0.27062947	0.0014976116	0.00657548	0.028154671	0.51340824	0.016237635
a31	0.034315713	0.36648032	0.011965025	0.080291584	0.12654114	0.33499494	0.045411278
a8	0.04391564	0.37688506	0.00631611	0.027183613	0.09244002	0.39418226	0.05907726
a31	0.044069573	0.40616202	0.051215537	0.093805425	0.12076082	0.24801505	0.035971556
a28	0.055445075	0.7334927	0.027229916	0.04390838	0.04889988	0.0611648	0.029859249
a0	0.06851898	0.8201403	0.014252587	0.016373586	0.019152302	0.045122944	0.01643938
a41	0.26718843	0.56555486	0.017379694	0.032740686	0.026985178	0.07067336	0.019477703
a39	0.2963185	0.570514	0.023522025	0.03988419	0.012071091	0.049614288	0.008075932
a31	0.2289416	0.43376046	0.05420049	0.14016801	0.042954635	0.09052086	0.0094540045
a39	0.49669147	0.2663544	0.02289077	0.07789949	0.028705133	0.08097215	0.026486635
a31	0.46799332	0.2721201	0.034423303	0.062684804	0.03691747	0.08041607	0.045444917
a18	0.2816611	0.22789194	0.13020642	0.12263965	0.07924186	0.085304365	0.073054716
a31	0.2803402	0.34216797	0.03932641	0.061663788	0.045691364	0.16297454	0.06783573
a18	0.13731441	0.19340037	0.18227464	0.138139	0.11738819	0.116771296	0.114712
a31	0.21811767	0.34360835	0.08063007	0.08145955	0.07680477	0.115463324	0.08391625
a39	0.13813692	0.1576346	0.15503168	0.14120063	0.13646224	0.13611585	0.1354181
a41	0.2230042	0.34735385	0.08974038	0.08328498	0.08132435	0.090258196	0.08503396
a8	0.22822657	0.31766272	0.110952236	0.0876948	0.087000415	0.08698838	0.08147484
a31	0.10973679	0.23603554	0.19675745	0.13691497	0.102870345	0.12635784	0.091327146
a46	0.09346581	0.11973696	0.29933056	0.20270742	0.101357825	0.09214453	0.091256976
a8	0.1627964	0.33517542	0.10037537	0.098767474	0.0971251	0.10655383	0.09920644
</S>	0.1360372	0.17591617	0.14997452	0.13649854	0.13254683	0.13848858	0.1305382
