 	ho	scritto	una	lettera	al	mio	fratello	</S>
a10	0.83953846	0.0016187434	0.07573633	0.018909784	0.034801304	0.014998582	0.0010569465	0.013339824
a31	0.060612332	4.615558e-05	0.030064173	0.0012054321	0.10507627	0.21947926	0.008011384	0.575505
a37	0.06609269	0.00016673791	0.0025989595	0.0004249303	0.095603086	0.33692795	0.029840555	0.46834505
a31	0.077295	0.0025476727	0.0014131961	0.006860262	0.1685901	0.21829566	0.41655967	0.10843846
a20	0.070001066	0.0017328833	0.0029978282	0.006587387	0.020148562	0.054817025	0.6024941	0.24122114
a31	0.019339042	0.031652767	0.028659204	0.09705682	0.20916933	0.09660322	0.4803832	0.037136417
a20	0.10355934	0.03754514	0.016077556	0.11837353	0.16968162	0.10857386	0.4199196	0.026269417
a13	0.0036663548	0.040258452	0.02076391	0.11296487	0.17332482	0.21526769	0.38579416	0.047959704
a20	0.002344285	0.03791684	0.028076597	0.10334267	0.17713904	0.24820307	0.3523768	0.050600715
a24	0.0041993293	0.06749896	0.0336603	0.14681526	0.18969904	0.21203902	0.28450692	0.061581187
a31	0.029942013	0.0456767	0.036671925	0.10110453	0.17723975	0.24472244	0.29781225	0.066830374
a0	0.04914324	0.039245214	0.029145438	0.05224246	0.1533104	0.2966861	0.24359113	0.13663599
a35	0.20113079	0.10337851	0.13897368	0.03753816	0.06122898	0.08466885	0.14272963	0.23035131
a0	0.3405279	0.04110503	0.09835808	0.044848777	0.06010187	0.099331275	0.14637627	0.16935083
a31	0.30975068	0.024958856	0.14621592	0.03300629	0.06975341	0.12479601	0.19352034	0.09799855
a11	0.46879384	0.073684864	0.07389697	0.06889841	0.07804488	0.07855016	0.07846376	0.07966717
a20	0.28734756	0.07370123	0.09663502	0.035647947	0.045573726	0.062457502	0.08978078	0.30885628
a41	0.5099439	0.04810864	0.13408627	0.04965272	0.059648987	0.06018744	0.06769198	0.07068007
a10	0.5343303	0.03753314	0.13181688	0.03985674	0.06144956	0.050940465	0.05627175	0.087801106
</S>	0.54366744	0.019411447	0.063366845	0.023553511	0.100964956	0.08859778	0.05490192	0.10553605
