 	essendosi	vestito	</S>
a46	0.0062220395	0.9768584	0.016919589
a31	0.0012505266	0.9972607	0.0014887856
a18	0.011291023	0.9881821	0.00052678643
a31	0.13037916	0.86547375	0.0041471072
a20	0.93494564	0.050533354	0.014521053
a46	0.2510482	0.6121598	0.136792
a20	0.4799194	0.42891476	0.0911658
a31	0.3491058	0.549086	0.10180829
a0	0.6770941	0.276	0.04690597
a46	0.45022285	0.40461344	0.14516369
a35	0.44287705	0.40376595	0.15335695
a46	0.5269773	0.30259565	0.17042707
a24	0.6546865	0.20533563	0.13997787
a46	0.7047965	0.17937097	0.11583247
a24	0.70093805	0.18921556	0.10984636
a31	0.6860388	0.20263715	0.11132409
</S>	0.5718963	0.28406307	0.14404061
