 	non	deve	parlare	davanti	a	Anna	di	questo	</S>
a31	0.0009674872	5.41633e-05	0.014618732	0.0010757569	0.00050393824	0.0019396403	0.0031741278	0.97722584	0.00044032294
a28	1.64724e-06	7.0054784e-07	5.6225468e-05	4.6582467e-05	3.305284e-05	0.00040961153	0.0003904286	0.99894077	0.000120991535
a37	2.8617333e-06	4.992634e-07	7.9046236e-05	5.155093e-05	9.586415e-06	5.266415e-06	6.54563e-05	0.9996728	0.00011295175
a20	2.869761e-06	1.0074712e-06	5.015098e-05	1.739882e-05	1.3843874e-05	2.0282885e-06	1.3081143e-05	0.999859	4.0615323e-05
a37	5.0700364e-05	2.1152277e-05	0.00017097917	4.5316247e-05	9.69496e-05	4.0221665e-05	6.850965e-05	0.9989881	0.00051808404
a24	0.00060105673	0.00024886668	0.0006903723	0.00035609156	0.0009013384	0.0006115823	0.00081686705	0.9900593	0.005714664
a21	0.0017323889	0.0014186112	0.0020855218	0.0015723553	0.004306721	0.004876814	0.004905733	0.9717405	0.0073614838
a28	0.0030362436	0.0027136288	0.005409815	0.0036205242	0.008546467	0.015001434	0.013544215	0.94187033	0.006257304
a24	0.0016255489	0.0011626207	0.0058739726	0.0029528586	0.0067697624	0.017658534	0.01895414	0.9418945	0.0031081776
a31	0.0021831314	0.0018830989	0.010953542	0.008553934	0.013412678	0.059786014	0.06478813	0.8279009	0.010538611
a20	0.0026848693	0.0002884789	0.0029252844	0.00269087	0.0020587414	0.023245366	0.0062770494	0.9591836	0.0006458519
a24	0.07244452	0.047471557	0.0713594	0.040706426	0.07658011	0.16539212	0.1196906	0.32450512	0.08185018
a20	0.034388207	0.012406902	0.04797232	0.032730073	0.042810775	0.18984598	0.07635252	0.54843354	0.015059673
a33	0.014829745	0.006290217	0.05343871	0.017822383	0.0215867	0.095160834	0.054711085	0.72361237	0.01254804
a20	0.01918866	0.0059740073	0.034459	0.019694127	0.022646043	0.11807768	0.056834225	0.7156507	0.007475597
a31	0.016444355	0.0041769487	0.07416408	0.019542987	0.017747419	0.08175589	0.05063383	0.7279426	0.00759187
a3	0.09141787	0.015586448	0.02755784	0.03994608	0.020331198	0.0824299	0.070541	0.62135994	0.030829662
a20	0.076251194	0.08013103	0.07608361	0.07376281	0.08278086	0.2921413	0.11341194	0.113525346	0.09191196
</S>	0.09912772	0.08932583	0.100086756	0.0915574	0.09213269	0.10458706	0.09519882	0.23708831	0.090895504
