 	non	ho	cosa	è	da	mangiare	</S>
a31	0.044137705	0.18583378	0.28826162	0.0010756187	0.06664682	0.40110686	0.012937571
a8	0.0012292373	0.013436269	0.020039745	2.7658574e-05	0.027197162	0.9348571	0.0032128477
a31	0.005198047	0.039235104	0.012977067	0.0010313311	0.021500364	0.9185031	0.0015550673
a37	0.052150883	0.09035363	0.017506883	0.0086380765	0.09825956	0.71813786	0.0149530815
a20	0.011838145	0.07992809	0.008566789	0.008775484	0.08746742	0.7949502	0.00847381
a31	0.03443675	0.14494881	0.0136124985	0.015603027	0.24355668	0.49042284	0.057419356
a17	0.008457718	0.0808978	0.015604088	0.07824487	0.22630155	0.576327	0.014166959
a20	0.07106956	0.10624839	0.041026995	0.045054264	0.35199454	0.27574354	0.10886265
a31	0.08302319	0.0839899	0.052377503	0.06890765	0.34589896	0.23716065	0.12864219
a39	0.114391245	0.16259545	0.11384567	0.1530324	0.17867072	0.16804838	0.10941605
a35	0.11026853	0.11921212	0.09183026	0.09576762	0.26163924	0.1823574	0.13892482
a39	0.13101934	0.12498448	0.10838759	0.11359495	0.1973624	0.17205785	0.15259333
a46	0.14159295	0.11822718	0.097335085	0.108759865	0.19356582	0.18033148	0.1601876
a35	0.12134176	0.104902826	0.09760755	0.12395186	0.20720272	0.1913089	0.15368438
a31	0.08925394	0.064231984	0.0593298	0.11369252	0.25404704	0.28335887	0.13608588
</S>	0.13380522	0.20875625	0.13004006	0.13862774	0.12939554	0.14186363	0.11751155
