 	non	aveva	da	stare	</S>
a37	0.006973295	0.00071141374	0.0075393976	0.98272854	0.0020473371
a38	0.0002941817	2.5412108e-05	0.0019570652	0.9857744	0.011948922
a24	0.00015467606	2.5515841e-05	2.47909e-05	0.99975485	4.021566e-05
a8	0.00066639	0.00014592712	0.00012632794	0.99898666	7.46194e-05
a17	0.06352937	0.011165856	0.014555261	0.8643525	0.046396926
a31	0.08635703	0.015802646	0.03850412	0.63229215	0.22704403
a20	0.0079641035	0.00167984	0.0026914799	0.9717206	0.01594402
a8	0.027884167	0.029922934	0.03801607	0.667318	0.23685883
a31	0.033852868	0.02600478	0.03584432	0.6006983	0.30359975
a20	0.02280361	0.019359948	0.020128263	0.894154	0.043554153
a31	0.05587575	0.06964242	0.07368062	0.56253093	0.23827033
a8	0.15905672	0.15717264	0.15659913	0.36834598	0.15882556
a31	0.1538923	0.1574171	0.15893567	0.3054003	0.22435464
</S>	0.1955322	0.19540544	0.19527802	0.21815524	0.1956292
