 	non	ho	finito	lo	posso	finire	di	scrivere	</S>
a31	0.019719135	0.5791605	0.1978033	0.14197622	5.3251868e-05	4.5892237e-05	0.0595633	0.00016345391	0.0015148909
a24	0.0012907862	0.77433366	0.072516486	0.03501239	5.305055e-06	9.047089e-06	0.11329306	0.00019138273	0.0033479456
a28	0.004734347	0.108922385	0.10389202	0.22679453	0.0013004402	0.0013079613	0.5501251	0.0016789071	0.0012443146
a31	0.012599457	0.24064457	0.25314403	0.060754392	0.00021123228	0.00037215103	0.42844436	0.002147762	0.0016820112
a8	0.05802972	0.15905558	0.12581907	0.14679118	0.002777033	0.0052408185	0.49997896	0.0013919988	0.0009156574
a0	0.024386097	0.88912594	0.036224272	0.009934507	0.0002994265	0.0007195226	0.0339345	0.0024731234	0.0029026545
a31	0.05721616	0.15925734	0.046335567	0.0922512	0.005089907	0.009531933	0.5716393	0.023125282	0.035553355
a39	0.04132083	0.5508669	0.02022755	0.016348837	0.015702235	0.020712998	0.08650275	0.045755614	0.20256236
a31	0.06798401	0.18723732	0.02253295	0.025855007	0.028423399	0.042475767	0.13212518	0.08112137	0.41224498
a8	0.09634392	0.16264294	0.09477673	0.09473535	0.09761625	0.10263966	0.10295101	0.1025829	0.1457113
a31	0.06834205	0.09729848	0.04815554	0.051455706	0.05428367	0.06389882	0.095541485	0.113310404	0.40771386
a24	0.11323955	0.1261274	0.10474085	0.10688901	0.109120764	0.113555975	0.10695029	0.10694111	0.11243506
a46	0.13177562	0.2150744	0.07544373	0.06937137	0.068636835	0.06969125	0.08363197	0.09284827	0.19352645
a31	0.10795298	0.113860145	0.104152255	0.10471157	0.109150834	0.11396138	0.10837373	0.11064915	0.12718792
a1	0.11329681	0.11893837	0.10712179	0.110136576	0.110720955	0.1141596	0.10873506	0.107965454	0.10892541
a31	0.18285535	0.21814594	0.07866746	0.068782695	0.06560187	0.066202454	0.07666301	0.086014375	0.15706694
</S>	0.11224087	0.11548957	0.10919587	0.11103929	0.11070928	0.112225786	0.10985067	0.10945152	0.10979714
