 	Marika	non	ha	mangiato	mai	un	rustico	</S>
a8	0.7154252	0.07587888	0.111030445	0.0065972386	0.071202986	0.016315462	9.663468e-05	0.00345305
a31	0.9311659	0.021712089	0.04233097	8.318717e-06	0.0007918389	0.0017502246	1.3777541e-05	0.0022269539
a20	0.57542974	0.09428979	0.21029402	0.00011606894	0.01732987	0.10161443	7.706814e-05	0.0008490737
a31	0.12950788	0.004163585	0.0023547783	0.0006055047	0.024861865	0.8138676	0.0009880809	0.023650713
a37	0.39733058	0.012402905	0.01783466	0.00094226736	0.013020911	0.51385087	0.000882508	0.043735404
a14	0.047907505	0.13191283	0.04393665	0.0028360586	0.2012549	0.472221	0.0031449092	0.09678615
a10	0.05891643	0.080590785	0.053386282	0.0030894366	0.110546954	0.41609746	0.002019182	0.27535355
a31	0.063524015	0.16904671	0.05591681	0.004936124	0.07009424	0.04602907	0.001944416	0.58850855
a37	0.113892	0.03433491	0.06444749	0.010306545	0.35293773	0.31557748	0.040259503	0.068244316
a10	0.8230394	0.07229644	0.01818726	0.0023723003	0.04942697	0.017195525	0.0032105919	0.014271495
a14	0.8145573	0.039933242	0.029215967	0.004943613	0.06405706	0.02088184	0.007586067	0.018824786
a0	0.99105495	0.0035901451	0.0036328596	3.792352e-05	0.0010296783	0.00037810867	0.00010327417	0.00017304573
a20	0.960154	0.019694429	0.014466906	7.5174554e-05	0.0044377046	0.00092312397	4.7457233e-05	0.00020119519
a33	0.90578717	0.030731164	0.04411295	0.00016405126	0.016475853	0.002369728	6.842118e-05	0.0002907078
a20	0.89191	0.066536285	0.019252041	0.0008078675	0.016311858	0.003389857	0.00040368093	0.0013884429
a31	0.8741579	0.05719837	0.0513789	0.0006537653	0.0132360775	0.0017924147	0.000527166	0.0010554653
a0	0.98397034	0.002662791	0.011332657	1.9526778e-05	0.001796474	0.00018766162	7.5786106e-06	2.2988934e-05
a41	0.9251055	0.020415442	0.027070167	0.0015849564	0.014422463	0.007154059	0.0014057115	0.0028416365
a31	0.80034125	0.06081508	0.09359949	0.0045170467	0.02613051	0.007610909	0.0019784507	0.0050072777
a37	0.75298226	0.055632655	0.1127804	0.0038112	0.049075212	0.02240048	0.0012349813	0.0020827863
a31	0.867771	0.033395544	0.060426954	0.0030749063	0.020426078	0.008878016	0.0023350015	0.003692468
a18	0.7130387	0.084562905	0.08186119	0.010138924	0.024610287	0.03842784	0.02983331	0.017526861
a8	0.67064506	0.08291053	0.100329205	0.017506061	0.05741221	0.034075804	0.016617328	0.020503817
a20	0.5874898	0.060886227	0.13083634	0.044186182	0.050155625	0.042748045	0.040799107	0.04289866
</S>	0.74068034	0.040188007	0.1199925	0.020542398	0.028003197	0.017406313	0.016568292	0.016619029
