 	l	ha	scritta	</S>
a20	0.784999	0.06458684	0.13528216	0.015131969
a31	0.16708414	0.34977028	0.4156462	0.067499466
a35	0.015655274	0.032056876	0.94976	0.0025278707
a31	0.25405937	0.09420771	0.64999986	0.0017330822
a35	0.3840728	0.2704095	0.34465343	0.00086423586
a31	0.04170417	0.34599105	0.59567285	0.016631953
a41	0.39594713	0.47864664	0.10453682	0.020869473
a31	0.028280595	0.37344435	0.37552983	0.22274521
a11	0.022826027	0.108153366	0.42409185	0.44492874
a18	0.15913007	0.39278618	0.1996814	0.24840233
a13	0.21043038	0.36566952	0.2060659	0.21783417
</S>	0.22010946	0.42488593	0.17134003	0.18366455
