 	l	ho	sentito	che	veniva	</S>
a41	0.89617753	0.09709165	0.00010595513	0.0035910348	0.0027979598	0.00023575648
a31	0.5938138	0.076853015	0.00014300931	0.018140106	0.08230677	0.22874336
a24	0.07155506	0.9232494	2.6839132e-06	0.00038076373	0.004749959	6.215047e-05
a15	0.20545253	0.79215807	0.00011740688	0.00052916154	0.0016069963	0.00013586033
a28	0.5145801	0.45421025	0.0061351773	0.003685518	0.014461168	0.0069278
a0	0.3820173	0.34741524	0.07081286	0.031920847	0.069430225	0.09840357
a31	0.39227787	0.12283128	0.14109857	0.04317647	0.12478396	0.17583184
a11	0.8708028	0.06937307	0.014638171	0.009758659	0.015956094	0.019471258
a31	0.39409256	0.07067881	0.068430334	0.04093268	0.11124874	0.31461686
a39	0.22309013	0.16492455	0.14874278	0.1473744	0.15268774	0.16318041
a20	0.27539173	0.13271545	0.13257377	0.13020983	0.14305063	0.18605861
</S>	0.20139076	0.15858528	0.15571193	0.15473373	0.1587269	0.17085147
