 	questa	la	costruirono	mastri	che	erano	i	muratori	</S>
t	0.978005	0.010756931	0.010800496	0.00040863315	2.3187598e-05	2.474429e-06	2.706703e-06	4.418866e-07	7.861101e-08
ù	0.98522854	0.013576807	0.0011605789	3.229834e-05	1.5121169e-06	1.4571795e-07	1.8910683e-07	5.4556097e-09	1.3429384e-08
o	0.9811275	0.016974607	0.0018965305	2.4368308e-07	6.026563e-07	4.9933476e-07	2.1076959e-08	1.1088424e-08	3.5964614e-08
o	0.47520018	0.4326388	0.09215541	3.6763101e-06	1.0726247e-06	6.552272e-07	7.8366114e-08	6.091146e-08	1.2118323e-07
f	0.31413186	0.6299601	0.0558955	9.4497655e-06	1.9900106e-06	1.0013772e-06	7.875389e-08	1.5754098e-08	2.3917073e-08
r	0.11564612	0.8079682	0.06495251	0.010267016	0.0010473854	4.554896e-05	6.2101855e-05	3.1333195e-06	7.949991e-06
a	0.055762816	0.33507118	0.5876394	0.019594723	0.001738696	0.00012769816	5.1499355e-05	3.5616658e-06	1.0424881e-05
b	0.015673984	0.92905504	0.052403826	0.0021473092	0.00069988205	1.6577325e-05	3.1382767e-06	5.801229e-08	1.01369075e-07
b	0.014038649	0.6434998	0.28591916	0.050946474	0.0050271144	0.00021723316	0.00030285158	1.414064e-05	3.4491324e-05
i	0.0013917724	0.070020705	0.89736575	0.02268343	0.007389692	0.0010477455	6.36529e-05	1.3315043e-05	2.4073623e-05
k	0.0323063	0.9063175	0.045250814	0.012395401	0.0035775402	0.00011128083	3.8853443e-05	4.7579448e-07	1.8365839e-06
è	0.00053784304	0.0906264	0.7885267	0.10808293	0.010872747	0.00050630106	0.00073282735	3.6425874e-05	7.774863e-05
s	0.0019565187	0.195348	0.628286	0.07755433	0.09397674	0.0025373017	0.00033169336	1.679651e-06	7.823847e-06
s	0.0003649996	0.13633914	0.79238176	0.0634712	0.00651453	0.00029914154	0.00039753292	7.016083e-05	0.00016145896
a	7.100802e-05	0.0037236481	0.2868835	0.6744579	0.031419408	0.0012814002	0.001882992	4.4815046e-05	0.00023536156
n	0.013073021	0.0025393022	0.026061002	0.7666625	0.14647822	0.041449316	0.0033345693	0.00015029343	0.00025191097
o	1.5719613e-06	3.0439733e-05	0.013493743	0.8483907	0.122591265	0.0053569824	0.008344836	0.00045125562	0.0013392353
m	0.0075004348	9.334432e-05	0.0004077478	0.28083774	0.5734288	0.13127623	0.0058771516	0.00018835117	0.00039013833
a	1.5714442e-05	0.00012617718	0.0019474323	0.8401431	0.13284326	0.008180315	0.01225278	0.0012316083	0.003259706
s	0.074298464	0.00026090242	0.00017461611	0.24772793	0.5986218	0.073058166	0.0053847446	0.00021572712	0.00025777184
t	5.2149876e-06	2.8641527e-06	0.00014021058	0.6913545	0.26527068	0.019238662	0.015374953	0.0012857179	0.007327202
ò	1.7693659e-06	5.45139e-07	2.5490548e-05	0.20635203	0.6463773	0.07362452	0.056840558	0.0047908914	0.011986844
r	0.0004117186	8.758002e-06	3.1007912e-05	0.016821636	0.7347771	0.22973111	0.016626643	0.0007218999	0.0008701848
i	4.6524246e-06	2.7374736e-05	0.000110339344	0.6646523	0.23012744	0.029485768	0.06112151	0.005199506	0.009271103
k	0.00034842832	1.6026095e-05	8.11135e-06	0.004452976	0.33937994	0.5988381	0.049892493	0.0020500289	0.005013916
a	1.3756508e-05	2.896686e-05	4.2939617e-05	0.1258721	0.32204917	0.117819056	0.32775962	0.04390585	0.062508576
ì	0.0035738754	4.879856e-05	1.7250632e-05	0.0035009356	0.26431617	0.61693585	0.0955821	0.0071591744	0.008865864
a	0.00035241657	3.0863437e-05	5.1511157e-05	0.0005895106	0.07596527	0.7567124	0.13791749	0.0063591353	0.022021323
